test_th=-5
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,1.0,0.9958810068649886,0.9960070984915705,0.9979683972911964,0.9979995554567682,1.0,0.004118993135011406
3,0.5486392588303416,0.9860606060606061,0.9763008758371973,0.7623630441220017,0.7025023169601482,0.962938051622186,0.013939393939393918
5,0.9040860215053763,0.9551587301587302,0.9489841986455982,0.9306501547987616,0.9259911894273127,0.9858277009728623,0.04484126984126979
6,0.4690082644628099,0.4766483516483517,0.4427108727450024,0.47305825242718447,0.455480311010785,0.4743972883177429,0.5233516483516483
8,0.9265033407572383,0.9766666666666667,0.9753810082063306,0.9516129032258065,0.9503141062250143,0.9919871318980451,0.023333333333333317
10,0.7790966994788651,0.9256410256410257,0.9027172089902717,0.8568126189828664,0.8363636363636363,0.9395305331611065,0.07435897435897432
13,0.8662365591397849,0.9966666666666667,0.9965363681345868,0.928135593220339,0.9268292682926829,0.9978562211981568,0.0033333333333332993
14,0.12100965107646622,0.5026666666666667,0.3041044776119403,0.2575107296137339,0.1731279872543813,0.23353427369463003,0.4973333333333333
16,0.6013363028953229,0.7611111111111111,0.7152317880794702,0.6813125695216907,0.6533575317604355,0.7454293491709972,0.23888888888888893
18,0.9957315627223144,0.9872222222222222,0.9891637220259129,0.9918127158756557,0.9924367761758449,0.9996416620557005,0.012777777777777777
20,0.8660627628599159,0.9966722129783694,0.9955373744886575,0.9363894281021353,0.9262975778546712,0.99443628317806,0.0033277870216306127
23,0.9612472160356348,0.944372574385511,0.9435942282466113,0.9526730937773883,0.9523389232127096,0.9915534593188257,0.05562742561448897
 
 
 
test_th=-4
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.9988419224088014,0.9806060606060606,0.9817871371656233,0.9899318922120225,0.9902411021814008,0.999862566019196,0.019393939393939408
5,0.6640860215053763,0.9936507936507937,0.9897435897435898,0.835500515995872,0.7948519948519949,0.9886953405017922,0.006349206349206327
6,0.7644628099173554,0.6845238095238095,0.6823420931304749,0.7220873786407767,0.7210718635809988,0.8182310114128296,0.31547619047619047
8,0.9042316258351893,0.9955555555555555,0.9950980392156863,0.949944382647386,0.9474912485414236,0.998525117545162,0.004444444444444473
10,0.5141864504921829,0.8771794871794871,0.7875831485587583,0.7066902366059288,0.6221755123489227,0.7818800944278651,0.12282051282051287
13,0.9982795698924731,0.6314285714285715,0.749919224555735,0.8241807909604519,0.8564575645756458,0.9949982590885817,0.36857142857142855
14,0.9569413511507052,0.7386666666666667,0.868013468013468,0.8788745827372437,0.9103107344632767,0.9356466221232368,0.2613333333333333
16,0.7850779510022272,0.6766666666666666,0.7078313253012049,0.7308120133481646,0.7444561774023231,0.8006656768126701,0.32333333333333336
18,0.9573156272231444,0.9994444444444445,0.9995048279277049,0.9767174107713956,0.9779554263565892,0.9998407899243802,0.0005555555555555314
20,1.0,0.9154187465335551,0.910188457008245,0.9544572196505898,0.9529828888546323,0.9993067110371603,0.08458125346644485
23,0.7643652561247216,0.9844760672703752,0.9794520547945206,0.876205083260298,0.8586439829872404,0.9847036824681555,0.015523932729624823
 
 
 
test_th=-3
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,0.9968819599109131,1.0,1.0,0.9984198645598195,0.9984385456167745,0.9999987768394552,0.0
3,0.9991314418066011,0.8975757575757576,0.9107944048561626,0.9495114006514658,0.9529200607483087,0.999644987805092,0.10242424242424242
5,0.9987096774193548,0.9948412698412699,0.9944325481798715,0.9966976264189886,0.9965665236051502,0.9999206349206349,0.00515873015873014
6,0.8114669421487604,0.9217032967032966,0.9018369690011481,0.8699029126213592,0.8542686242523111,0.9530042637286955,0.07829670329670335
8,0.9977728285077951,0.9955555555555555,0.9955555555555555,0.996662958843159,0.996662958843159,0.9999406087602078,0.004444444444444473
10,0.9351476548928779,0.9671794871794872,0.961882072662299,0.9521348925754691,0.9483264826776276,0.9915510444969045,0.03282051282051279
13,1.0,0.9985714285714286,0.9987113402061856,0.9993220338983051,0.9993552546744036,0.9999985663082438,0.0014285714285714457
14,0.9717891610987379,0.9826666666666667,0.9901664145234493,0.9756795422031473,0.9808917197452229,0.9976738431081416,0.01733333333333331
16,0.8084632516703786,0.9866666666666667,0.983739837398374,0.8976640711902113,0.8875305623471882,0.9876614699331848,0.013333333333333308
18,0.9774721365899929,0.8177777777777778,0.8627040602762662,0.9039273378533964,0.9165091717620901,0.9893617434721892,0.18222222222222217
20,0.9996764801035264,1.0,1.0,0.9998506794086904,0.999838213881249,0.9999991925460154,0.0
23,1.0,0.9676584734799483,0.9676724137931034,0.983567046450482,0.9835706462212486,0.9999992316786572,0.03234152652005173
 
 
 
test_th=-2
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,0.999554565701559,0.9990846681922196,0.9991095280498664,0.9993227990970655,0.9993319973279892,0.9999944957775478,0.0009153318077803618
3,0.8039953676896352,0.9963636363636363,0.9956973825743994,0.8979863784424045,0.889636392759891,0.9967071993823586,0.0036363636363636598
5,0.9944086021505376,0.9900793650793651,0.9893025246041934,0.9921568627450981,0.9918489918489918,0.9995832906639358,0.009920634920634885
6,0.7794421487603306,0.9436813186813187,0.9246323529411765,0.866504854368932,0.8458520179372198,0.9615785492916175,0.05631868131868134
8,0.9599109131403119,0.9988888888888889,0.9988412514484357,0.9794215795328143,0.9789892106757525,0.999846572630537,0.0011111111111110628
10,0.9739432541980313,0.9974358974358974,0.997036158861885,0.986401958118031,0.9853544229642649,0.9997183495909611,0.002564102564102555
13,0.4073118279569892,1.0,1.0,0.6885875706214689,0.5788508557457213,0.9996877624167946,0.0
14,0.8715664439495174,1.0,1.0,0.9175011921793038,0.9313764379214597,0.9998356842365751,0.0
16,0.26169265033407574,0.9777777777777777,0.9215686274509803,0.6201334816462737,0.4076322636600173,0.8346300420687948,0.022222222222222254
18,0.9995257291913683,0.9961111111111111,0.9966895247103335,0.9979531789689139,0.9981056121240824,0.999989658261534,0.0038888888888889417
20,1.0,0.9986134220743206,0.9983850129198967,0.9992533970434523,0.9991918538871829,1.0,0.001386577925679422
23,0.9861915367483296,0.9987063389391979,0.9986468200270636,0.9925503943908852,0.9923800986104886,0.9999444887829886,0.001293661060802087
 
 
 
test_th=-1
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,1.0,0.9966666666666667,0.9968253968253968,0.998371335504886,0.9984101748807631,0.999998859469039,0.0033333333333332993
5,0.9767741935483871,0.9876984126984127,0.9865334491746307,0.9824561403508771,0.981629565593257,0.9986276668373442,0.012301587301587258
6,0.7221074380165289,0.945054945054945,0.9209486166007905,0.8402912621359223,0.8094962362478285,0.9049846933369661,0.05494505494505497
8,0.9732739420935412,0.9822222222222222,0.9820224719101124,0.9777530589543938,0.9776286353467561,0.9984620143528828,0.01777777777777778
10,0.9409380428488708,0.997948717948718,0.9975445058317987,0.9711721512102257,0.9684147794994041,0.9994960877763426,0.002051282051282022
13,0.9969892473118279,0.9771428571428571,0.9797125950972105,0.9875706214689266,0.9882754210189726,0.9997300563236047,0.02285714285714291
14,0.9458054936896808,1.0,1.0,0.9651883643299952,0.9721480351011065,1.0,0.0
16,0.7861915367483296,0.9688888888888889,0.9618528610354223,0.8776418242491657,0.8651960784313726,0.9753786191536749,0.03111111111111109
18,0.9978657813611572,0.9983333333333333,0.9985761746559089,0.9980811052833568,0.9982208516190251,0.9999884725845124,0.0016666666666667052
20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,1.0,0.9982751185855973,0.9982214317474433,0.9991235758106923,0.9991099243435693,1.0,0.0017248814144027458
 
 
 
test_th=-4
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.9988419224088014,0.9424242424242424,0.9478021978021978,0.9712762807225348,0.9726529461516775,0.9965124317874751,0.05757575757575761
5,0.5643010752688172,0.9222222222222223,0.870026525198939,0.7504643962848297,0.6845812679363424,0.9085869602321216,0.07777777777777772
6,0.7267561983471075,0.6217948717948718,0.6300940438871473,0.6711165048543689,0.6749820100743583,0.7464319534632035,0.3782051282051282
8,0.9354120267260579,0.9833333333333333,0.9824561403508771,0.9593993325917687,0.9583571021106674,0.9936302895322939,0.01666666666666672
10,0.3419224088013897,0.6505128205128206,0.46422955974842767,0.5055751971716073,0.39379793264421475,0.5097586595994239,0.34948717948717944
13,0.8993548387096775,0.6561904761904762,0.7433345183078564,0.783954802259887,0.8139353834176722,0.8656668714797746,0.3438095238095238
14,0.9391239792130661,0.43866666666666665,0.7502965599051008,0.760133524082022,0.8341575997362347,0.835343726800297,0.5613333333333334
16,0.7026726057906458,0.5166666666666667,0.5919324577861164,0.6095661846496107,0.6425661914460284,0.6445904479089334,0.4833333333333333
