 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,0.9954820235443843,0.9990846681922196,0.999109149652108,0.9972589487262173,0.9972618310823934,0.9999715760787656,0.000915331807780346
2,0.9913469387755102,0.9720833333333334,0.9679605643215625,0.98093808630394,0.9795085837195637,0.9988257671957671,0.027916666666666663
3,0.9896738081451458,0.9514646464646465,0.9575630424764258,0.9710048366400157,0.9726782363831724,0.9988576120206115,0.04853535353535352
5,0.9723010752688171,0.971031746031746,0.9691548503066014,0.971640866873065,0.9702774121676203,0.9978355350742447,0.028968253968253976
6,0.85410927456382,0.7185083435083435,0.7524500307393155,0.7822276159654801,0.7933787414176903,0.895183572740391,0.28149165649165653
8,0.9828507795100222,0.9795555555555555,0.9796883922005565,0.9812013348164627,0.9812455582172358,0.995880227666419,0.020444444444444442
9,0.9796081005062816,0.9777441659464132,0.9783528357314364,0.9786873191327863,0.9789567070828717,0.997651557747352,0.02225583405358686
10,0.942144373673036,0.9135470085470084,0.9070221651858056,0.9269785150938264,0.9240510450305875,0.972279686873636,0.08645299145299146
13,0.9628673835125449,0.9406349206349206,0.9526248133744067,0.952316384180791,0.9557815598757734,0.9964348352961258,0.059365079365079364
14,0.6758228161346201,0.944888888888889,0.9569604351887545,0.7720553171196948,0.7806315627700182,0.940972531551596,0.05511111111111109
16,0.8530066815144766,0.5244444444444444,0.6586158196894123,0.6885428253615128,0.7360472330522366,0.7852717974098821,0.47555555555555556
17,0.8893838158871566,0.9438888888888889,0.8314044541074779,0.931332307166068,0.8582212026091763,0.969670873546152,0.05611111111111111
18,0.9830448185914157,0.9841203703703704,0.9865047808189974,0.9835401475416826,0.9846340827722148,0.9991536132409383,0.015879629629629632
19,0.9965835019105417,0.9707555555555555,0.971247438599487,0.9835959325064253,0.9837368498835349,0.9994445193676481,0.029244444444444444
20,0.9996764801035264,0.9848585690515808,0.982906055733066,0.9916977751231894,0.9911527618286273,0.9999629647772423,0.015141430948419288
21,0.9835048426150121,0.7547474747474747,0.8066845010842887,0.8691954371088229,0.8848292780831735,0.9610795250731692,0.24525252525252525
22,0.9420935412026725,0.7681348843288459,0.35376492383566704,0.7864077669902912,0.5063382376805323,0.9032429200485896,0.2318651156711541
23,0.9902895322939866,0.9472186287192755,0.948493225782339,0.9684049079754603,0.9687619428356499,0.9969645928713226,0.052781371280724444
 
 
 
test_th=-5
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.6986103068905617,0.9987878787878788,0.998345055854365,0.8452768729641694,0.8220064724919095,0.9895586145180819,0.00121212121212122
5,0.9763440860215054,0.9503968253968254,0.9478079331941545,0.9628482972136223,0.961864406779661,0.9935453149001536,0.04960317460317465
6,0.48037190082644626,0.7454212454212454,0.6258411843876177,0.620873786407767,0.54354178842782,0.5710158686010959,0.25457875457875456
8,0.9788418708240535,0.9977777777777778,0.9977298524404086,0.9883203559510567,0.988195615514334,0.9993702053947042,0.0022222222222222365
10,0.8931673422119282,0.96,0.9518667078062326,0.9286102801196627,0.9215832710978341,0.985872975220109,0.040000000000000036
13,0.9109677419354839,1.0,1.0,0.9532203389830508,0.9534098582039162,0.9994762928827445,0.0
14,0.050482553823311065,0.8853333333333333,0.44155844155844154,0.3490701001430615,0.09060626249167222,0.41720168275179403,0.1146666666666667
16,0.732739420935412,0.7933333333333333,0.7796208530805687,0.7630700778642937,0.7554535017221584,0.8377171492204901,0.20666666666666667
18,0.9983400521697889,0.9966666666666667,0.9971577451444813,0.9975694000255853,0.9977485484062092,0.9999839274892631,0.0033333333333332993
