test_th=-5
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.8367110596409959,0.996969696969697,0.996551724137931,0.9150133254367782,0.909663204280768,0.9971371795546665,0.00303030303030305
5,0.9948387096774194,0.8817460317460317,0.8858674837227116,0.936016511867905,0.9371961102106969,0.9968449394094556,0.11825396825396828
6,0.7081611570247934,0.6295787545787546,0.6288990825688073,0.666504854368932,0.6661807580174928,0.7518866077104713,0.37042124542124544
8,0.977728285077951,0.7811111111111111,0.8167441860465117,0.8793103448275862,0.8900152052711607,0.9725983667409056,0.2188888888888889
10,0.8503184713375797,0.908974358974359,0.8921628189550426,0.8814250747892304,0.87073821523866,0.950386322806705,0.09102564102564104
13,0.9875268817204301,0.9995238095238095,0.999564649542882,0.9932203389830508,0.9935093033318909,0.9999674347158217,0.0004761904761905189
14,0.18856718634001485,0.924,0.8167202572347267,0.4515975202670482,0.30639324487334135,0.6887206137094779,0.07599999999999996
16,0.7293986636971047,0.6333333333333333,0.6649746192893401,0.6813125695216907,0.6956983536909188,0.7512521653056174,0.3666666666666667
18,0.9978657813611572,0.9897222222222222,0.991283863368669,0.9941153895356275,0.9945639328763886,0.9998558743709325,0.01027777777777783
20,1.0,0.9947310038824182,0.9938906752411576,0.9971629087651187,0.9969359780680536,0.9999948861247646,0.005268996117581803
23,0.8810690423162584,0.9857697283311773,0.9835902536051716,0.9342681858019282,0.9295112781954886,0.9923634620943864,0.014230271668822736
 
 
 
test_th=-4
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,1.0,0.9793939393939394,0.9806927881885292,0.9899318922120225,0.9902522935779816,0.9999871909599761,0.020606060606060628
5,0.09247311827956989,0.9984126984126984,0.9817351598173516,0.5636738906088752,0.1690251572327044,0.926632104454685,0.0015873015873015817
6,0.7117768595041323,0.771978021978022,0.7345415778251599,0.7436893203883496,0.7229800629590767,0.8083817224442225,0.228021978021978
8,0.8953229398663697,0.9966666666666667,0.9962825278810409,0.9460511679644049,0.943108504398827,0.9964068299925761,0.0033333333333332993
10,0.7345107122177186,0.9107692307692308,0.8793760831889081,0.8279847701930922,0.8004417100489036,0.8790434353332444,0.08923076923076922
13,0.9978494623655914,0.6733333333333333,0.7717897538256819,0.8438418079096045,0.8703807915963234,0.9948327700972862,0.32666666666666666
14,1.0,0.48133333333333334,0.7759216589861752,0.8144969003338102,0.8738241972105092,0.9662603316010889,0.5186666666666666
16,0.6870824053452116,0.6911111111111111,0.6893854748603352,0.6890989988876529,0.6882320133853876,0.7748069784706756,0.3088888888888889
18,0.9395304718994546,0.9977777777777778,0.9979848866498741,0.9663553793015224,0.9678759008183705,0.9995643295655152,0.0022222222222222365
20,1.0,0.9683860232945092,0.9644305772230889,0.9829774525907122,0.9818932655654383,0.9995477360515465,0.03161397670549082
23,0.9416481069042316,0.9913755929279862,0.9906279287722587,0.9669149868536372,0.9655172413793103,0.9974845159239399,0.00862440707201384
 
 
 
test_th=-3
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,0.999554565701559,0.9935926773455378,0.9937998228520815,0.9966139954853274,0.9966688874083944,0.9999908262959131,0.0064073226544622
3,0.9985524030110018,0.8887878787878788,0.9038259958071279,0.9449215279834172,0.9488308115543329,0.9995462441438123,0.1112121212121212
5,1.0,0.9916666666666667,0.9910485933503836,0.9956656346749226,0.9955041746949261,0.9999930022188087,0.008333333333333304
6,0.7871900826446281,0.9638278388278388,0.9507174048658765,0.8808252427184466,0.861260243006499,0.9715968217388672,0.036172161172161155
8,0.9510022271714922,1.0,1.0,0.9755283648498332,0.9748858447488584,0.9998886414253898,0.0
10,0.9872611464968153,0.9856410256410256,0.9838430467397576,0.986401958118031,0.9855491329479769,0.9988790773981857,0.014358974358974375
13,1.0,0.9995238095238095,0.9995700773860705,0.999774011299435,0.9997849924747366,0.9999924219150025,0.0004761904761905189
14,0.977728285077951,0.9933333333333333,0.9962178517397882,0.983309489747258,0.9868864743349569,0.9990883444691907,0.00666666666666671
16,0.37861915367483295,0.9955555555555555,0.9883720930232558,0.6874304783092324,0.5475040257648953,0.9618708240534523,0.004444444444444473
18,0.9898031776144178,0.9991666666666666,0.999281781182667,0.9941153895356275,0.9945198951632117,0.9997872368455721,0.0008333333333333526
20,1.0,0.9991680532445923,0.9990303813833226,0.9995520382260714,0.999514955537591,0.9999992822631248,0.0008319467554076532
23,1.0,0.9939629150495903,0.9938025675077468,0.9969325153374233,0.9968916518650089,0.9999984633573146,0.006037084950409666
 
 
 
test_th=-2
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,0.9937639198218263,1.0,1.0,0.9968397291196388,0.9968722073279714,0.9999957189380928,0.0
3,0.8740590619571511,0.9996969696969698,0.9996688741721854,0.9354456618300266,0.9326536916898364,0.9998097945289607,0.00030303030303024947
5,0.9969892473118279,0.9936507936507937,0.9931448157669237,0.9952528379772961,0.9950633183086499,0.999900324287421,0.006349206349206327
6,0.5526859504132231,0.9839743589743589,0.9683257918552036,0.7813106796116505,0.7037158829332456,0.9597251706626707,0.01602564102564108
8,0.9799554565701559,0.9988888888888889,0.9988649262202043,0.9894327030033371,0.9893198426082068,0.9995261073991587,0.0011111111111110628
10,0.9759698899826288,0.9987179487179487,0.9985189573459715,0.9880337231438673,0.9871156661786237,0.9996810832479622,0.0012820512820512775
13,0.3750537634408602,1.0,1.0,0.6716384180790961,0.5455114169533939,0.9973900665642601,0.0
14,0.8478099480326652,0.996,0.9973799126637555,0.9008106819265618,0.9165329052969502,0.9972828507795101,0.0040000000000000036
16,0.6035634743875279,0.8244444444444444,0.7742857142857142,0.71412680756396,0.6783479349186483,0.8214897302647859,0.17555555555555558
