 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,1,0.09468660515431117,0.5039555410264792,0.17159322234338123,0.2965495001612384,0.11847257095522742,0.300284020790817,0.4960444589735208
 
remaining,3,0.97495657209033,0.9656060606060605,0.967869955831978,0.9703879182706543,0.9708468049485403,0.9970604861586332,0.03439393939393942
remaining,5,0.8903225806451612,0.9252380952380953,0.9196840281970682,0.908482972136223,0.9029162344733622,0.9746116402116402,0.07476190476190474
remaining,6,0.8259297520661156,0.8414224664224664,0.830363308564114,0.8341423948220065,0.8258799831718405,0.9155967664490393,0.15857753357753357
remaining,8,0.9398663697104677,0.9955555555555555,0.9952421279260462,0.967741935483871,0.9662810141975008,0.9979819351645632,0.004444444444444429
remaining,10,0.9550762401080872,0.9619230769230769,0.956545771973189,0.9587072794850874,0.9557127681677485,0.9888342761272698,0.038076923076923085
remaining,13,0.9779211469534049,0.960873015873016,0.9678048202985562,0.9698305084745762,0.9718561464536973,0.9984366615463389,0.03912698412698414
remaining,14,0.6787923781242267,0.7671111111111112,0.8270408734666351,0.7103799078048004,0.7340122052053952,0.8044733976738431,0.23288888888888892
remaining,16,0.8067928730512248,0.7014814814814815,0.7373950022535659,0.7540786058583612,0.7680642560373733,0.8329771921141632,0.29851851851851857
remaining,18,0.9801596711722392,0.9743055555555555,0.978545783976006,0.9774636476056457,0.9791823614055679,0.9982759158257143,0.025694444444444447
remaining,20,0.9895179553542544,0.9795341098169719,0.9769071083769283,0.9841421532029268,0.9829999784387444,0.9990918565035842,0.020465890183028267
remaining,23,0.9965256124721604,0.9928417421302285,0.9926544303648159,0.9946538124452236,0.9945762053653022,0.999922553208654,0.007158257869771467
 
 
 
 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,3,0.611995753715499,0.2653535353535354,0.45442824601549403,0.44262659164939294,0.5149455661199315,0.39781180361811513,0.7346464646464647
 
remaining,1,0.9985364301622653,0.9967309578293558,0.9968260571330022,0.9976459206707514,0.9976794495896623,0.9998421103596602,0.003269042170643991
remaining,5,0.9573333333333333,0.9595238095238094,0.9566154013007118,0.9584726522187822,0.9567397309314576,0.9943684587813619,0.040476190476190485
remaining,6,0.8080808080808082,0.8893976393976395,0.8723453148531723,0.8511866235167206,0.8373081117907031,0.9226360234882962,0.11060236060236062
remaining,8,0.9258351893095768,0.9953333333333333,0.9948984281059831,0.9606229143492768,0.9585714663167006,0.9981529324424647,0.004666666666666664
