 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,1,0.14762965319758195,0.6205949656750571,0.3191669022475757,0.38090938406965497,0.1845650251819349,0.4344932292967337,0.3794050343249428
 
remaining,2,0.9885714285714285,0.9950462962962963,0.9941578393173374,0.9920700437773609,0.9913519044071978,0.9997184656084656,0.004953703703703738
remaining,3,0.988660490252847,0.9844949494949494,0.9854238296538531,0.9866252097522455,0.9869223652410954,0.9995023337018125,0.015505050505050503
remaining,5,0.9808172043010753,0.9838095238095239,0.9824954849204138,0.9823735810113519,0.98152379522072,0.9985436422597713,0.01619047619047618
remaining,6,0.8741965105601469,0.9065934065934067,0.8983530306560896,0.8913700107874865,0.8823719522635416,0.9699343953605317,0.09340659340659341
remaining,8,0.9951002227171492,0.9835555555555556,0.9837732144761808,0.9893214682981089,0.9893878637853939,0.9983377876763179,0.016444444444444418
remaining,9,0.9947262328895556,0.9848986843368865,0.9854513200672756,0.989871436026377,0.9900530515293646,0.9994805994699071,0.01510131566311343
remaining,10,0.9606253618992472,0.9805555555555555,0.9774641714770835,0.9711948146133623,0.9688849793694391,0.9955670620957245,0.019444444444444414
remaining,13,0.9350537634408602,0.9941269841269841,0.9946007485869958,0.9630885122410545,0.9602945607092405,0.9993031575354155,0.0058730158730158815
remaining,14,0.9255134867607028,0.8871111111111111,0.9403382696551431,0.9117787315212208,0.931361047353604,0.9699455580301904,0.11288888888888887
remaining,16,0.754083147735709,0.9018518518518519,0.8876315022860476,0.8280496848350017,0.8144976164109311,0.9252654046028211,0.09814814814814814
remaining,17,0.9680772086117297,0.9624444444444444,0.8927682813000238,0.9637420899606636,0.9271687801320626,0.9923376639445682,0.037555555555555564
remaining,18,0.9836376571022054,0.9931018518518518,0.9940997791831387,0.9879962474947762,0.988788491576274,0.9996632457688895,0.006898148148148153
remaining,19,0.9981568891885817,0.9944000000000001,0.9943589542027264,0.9962677394122248,0.99625326801579,0.9999447306510826,0.005600000000000012
remaining,20,0.9999352960207053,0.9865779256794232,0.9849289700028707,0.9927430192623563,0.9922891365533488,0.9999967701840617,0.013422074320576804
remaining,21,0.9557102502017756,0.9473232323232323,0.9493127316117052,0.9515192812436906,0.9521065107268738,0.9890319253878577,0.052676767676767655
remaining,22,0.8897550111358574,0.8700169912429747,0.4632511071410925,0.8720903029594105,0.6032284701324142,0.9439187098415598,0.12998300875702523
remaining,23,0.985924276169265,0.990599396291505,0.9902554886882659,0.9882997370727432,0.9880196005544256,0.9992813122160212,0.009400603708495048
 
 
 
 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,2,0.3594013605442177,0.33675925925925926,0.28543860325756426,0.34716697936210134,0.3154839903273654,0.2191992857142857,0.6632407407407407
 
remaining,1,0.9998727330575884,0.9998692383131742,0.9998727897214094,0.9998710093518219,0.9998727188695362,0.9999999417542599,0.00013076168682576598
remaining,3,0.9899150743099788,0.9887373737373738,0.9894125234861435,0.9893396505774357,0.9895697525871577,0.9996670380703386,0.011262626262626252
remaining,5,0.9683440860215053,0.986031746031746,0.9847839401973955,0.9775438596491227,0.976140816108505,0.9986383341867213,0.013968253968253963
remaining,6,0.8474517906336088,0.8758140008140008,0.8670232194506783,0.8624865156418555,0.8538670007595149,0.9407665540478042,0.1241859991859992
remaining,8,0.9899777282850779,0.9904444444444443,0.9904745217068005,0.9902113459399333,0.990216781068529,0.999127443702054,0.009555555555555562
remaining,9,0.9826082880180012,0.9926294055507539,0.9927325385538339,0.9875587077185825,0.9876124451619405,0.9993679436515488,0.007370594449246148
remaining,10,0.8813453001351091,0.9888888888888888,0.9857993533375494,0.9383782068715439,0.9299943896312506,0.9921707273618102,0.01111111111111109
remaining,13,0.9573476702508961,0.9942857142857142,0.9948888496165557,0.9748775894538607,0.9745801846115928,0.9995390339648406,0.005714285714285727
remaining,14,0.6703786191536748,0.9826666666666667,0.9818250915204789,0.7820696232713401,0.7896072948668081,0.9634433721026149,0.01733333333333331
remaining,16,0.7514847809948034,0.852037037037037,0.8425202665706041,0.8018168335187245,0.7909584868160251,0.9019667161593666,0.147962962962963
remaining,17,0.9524870081662954,0.961,0.8893211403066953,0.9590388233282026,0.9180342384147564,0.9892720861172978,0.039
remaining,18,0.9895265196427158,0.9963425925925926,0.996858692996449,0.9926655579719413,0.9931497706334187,0.9998517025443752,0.003657407407407424
remaining,19,0.9955945156214879,0.9979555555555556,0.9979292152073818,0.9967817633255112,0.9967567524200893,0.9999476136959616,0.002044444444444441
