 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,1,0.10531339484568882,0.9352729650212488,0.5518909311786635,0.5146726862302483,0.13255218864255536,0.7178116784165314,0.06472703497875124
 
remaining,3,0.9868751206330825,0.985959595959596,0.987192796934484,0.98642779587405,0.9867853202758723,0.9997699051897082,0.01404040404040402
remaining,5,0.9778064516129031,0.9858730158730159,0.9848061422120346,0.9820020639834881,0.9810597619486023,0.9990646868066223,0.014126984126984122
remaining,6,0.8732782369146005,0.8993691493691492,0.8905696227657166,0.8871089536138079,0.8784013242877254,0.966225601523897,0.10063085063085063
remaining,8,0.9679287305122495,0.992,0.9918399345537185,0.9799777530589544,0.9796931487215426,0.9983637713437268,0.008000000000000007
remaining,10,0.9677185871453386,0.9740598290598291,0.9707599708307953,0.9710814975976794,0.9690821971281657,0.9953380633874266,0.025940170940170943
remaining,13,0.9951971326164876,0.9875396825396825,0.9892384698065898,0.991563088512241,0.9920950402052773,0.999821368834272,0.01246031746031745
remaining,14,0.9672110863647613,0.8897777777777778,0.9445544443516855,0.9395167699888729,0.9545983869931792,0.9815054029530642,0.11022222222222224
remaining,16,0.8012249443207127,0.7511111111111112,0.7721583384368933,0.7761401557285873,0.7830109424128109,0.8640862410294483,0.24888888888888885
remaining,18,0.9898031776144177,0.997175925925926,0.9975745690130405,0.9931985842821202,0.9936172042114332,0.9997099482693508,0.002824074074074053
remaining,20,0.9961177612423164,0.9967276760953965,0.9961989099058519,0.996446169926833,0.9961500825392843,0.9999602732639605,0.0032723239046034357
remaining,23,0.9938530066815143,0.9895644674428633,0.9892871040132277,0.9916739702015777,0.991554387104926,0.9997013150780182,0.010435532557136718
 
 
 
 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,1,0.10531339484568882,0.9352729650212488,0.5518909311786635,0.5146726862302483,0.13255218864255536,0.7178116784165314,0.06472703497875124
 
remaining,3,0.9868751206330825,0.985959595959596,0.987192796934484,0.98642779587405,0.9867853202758723,0.9997699051897082,0.01404040404040402
remaining,5,0.9778064516129031,0.9858730158730159,0.9848061422120346,0.9820020639834881,0.9810597619486023,0.9990646868066223,0.014126984126984122
remaining,6,0.8732782369146005,0.8993691493691492,0.8905696227657166,0.8871089536138079,0.8784013242877254,0.966225601523897,0.10063085063085063
remaining,8,0.9679287305122495,0.992,0.9918399345537185,0.9799777530589544,0.9796931487215426,0.9983637713437268,0.008000000000000007
remaining,10,0.9677185871453386,0.9740598290598291,0.9707599708307953,0.9710814975976794,0.9690821971281657,0.9953380633874266,0.025940170940170943
remaining,13,0.9951971326164876,0.9875396825396825,0.9892384698065898,0.991563088512241,0.9920950402052773,0.999821368834272,0.01246031746031745
remaining,14,0.9672110863647613,0.8897777777777778,0.9445544443516855,0.9395167699888729,0.9545983869931792,0.9815054029530642,0.11022222222222224
remaining,16,0.8012249443207127,0.7511111111111112,0.7721583384368933,0.7761401557285873,0.7830109424128109,0.8640862410294483,0.24888888888888885
remaining,18,0.9898031776144177,0.997175925925926,0.9975745690130405,0.9931985842821202,0.9936172042114332,0.9997099482693508,0.002824074074074053
remaining,20,0.9961177612423164,0.9967276760953965,0.9961989099058519,0.996446169926833,0.9961500825392843,0.9999602732639605,0.0032723239046034357
remaining,23,0.9938530066815143,0.9895644674428633,0.9892871040132277,0.9916739702015777,0.991554387104926,0.9997013150780182,0.010435532557136718
 
 
 
