 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,0.058797327394209356,0.8315135665250082,0.37688263515367987,0.43992260561109325,0.09090232422326597,0.6139195524397321,0.16848643347499184
3,0.33815865662999417,0.2974242424242424,0.3164845568109131,0.3182558483861415,0.32528948981306094,0.26411913723219455,0.7025757575757576
5,0.9664516129032258,0.4434920634920635,0.6169635577030365,0.6944478844169246,0.7524949828534406,0.9341268817204302,0.5565079365079365
6,0.6949035812672176,0.2337708587708588,0.4368587477494424,0.45045846817691476,0.5329698269255484,0.44430087221280407,0.7662291412291412
8,0.3026726057906459,0.996116504854369,0.9817790891131765,0.6114885731933293,0.386401849833293,0.7273333559860254,0.003883495145631066
9,0.22545940371273204,0.63924901565351,0.1582609555339899,0.42987096162057026,0.18583765970061147,0.24462806069934254,0.36075098434648994
10,0.16521906967766842,0.911923076923077,0.541875663584163,0.561213851871997,0.2295142357797639,0.5844584255093809,0.0880769230769231
13,0.00043010752688172043,0.19444444444444445,0.0006508858637532877,0.09250470809792843,0.0005163531114327063,0.061299078341013814,0.8055555555555557
14,0.0011135857461024498,0.9995555555555556,0.3333333333333333,0.3582101414719441,0.002217482249739855,0.7410551018724738,0.000444444444444451
16,0.0,1.0,0.0,0.5005561735261401,0.0,0.4973560587313371,0.0
17,0.017074981440237565,0.9955555555555556,0.2100456621004566,0.7701385325808108,0.03158256093374528,0.7024875030932938,0.004444444444444436
18,0.10370721682080468,0.9159722222222223,0.2581856380389352,0.47778346339175304,0.1471439890650433,0.3302508255825188,0.08402777777777777
19,0.6630253989660598,0.9953777777777778,0.9926949841083651,0.8301486199575372,0.7712319112109073,0.9269445568292499,0.004622222222222194
20,0.8571336137172436,0.6886300610094287,0.6811197031593228,0.7664028669553532,0.7501170112986876,0.92883994162646,0.31136993899057125
21,0.045702179176755446,0.9877272727272728,0.49643791816008864,0.5164294367050273,0.08039011536443343,0.7527410352516284,0.012272727272727268
23,0.9984855233853007,0.991893057352307,0.9917763973896341,0.9951358457493427,0.9950915019338119,0.9999963696816557,0.008106942647692983
 
 
 
