 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,1,0.07718740057270125,0.9781627983000981,0.5447288751962935,0.5215736859077716,0.13149545650859826,0.8471460533778525,0.021837201699901904,unlearning,forget,1,0.008272351256761056,0.9310885910428244,0.17850569936106245,0.46343115124153506,0.015408891830910548,0.5365373344273824,0.06891140895717554
 
original,remain,3,0.6675834780930322,0.6061616161616162,0.6262268383085434,0.6375727963675846,0.6303062580363813,0.6787723207757951,0.3938383838383838,unlearning,remain,3,0.6858232001544103,0.5335353535353535,0.6005396441658902,0.6114154575066627,0.6302239089293308,0.6156218745065011,0.4664646464646464
original,remain,5,0.9275698924731183,0.7501587301587302,0.7739885612425317,0.8352941176470589,0.8430436100326911,0.9431133640552997,0.24984126984126984,unlearning,remain,5,0.9199139784946236,0.5950793650793651,0.6760280163593098,0.7509597523219814,0.7786443791678277,0.9149742618194232,0.4049206349206349
original,remain,6,0.7864439853076218,0.6018009768009769,0.6286032879812353,0.6885652642934196,0.6960109689384227,0.7735671709393299,0.3981990231990233,unlearning,remain,6,0.6904269972451791,0.7815934065934066,0.7243603216390168,0.7387540453074434,0.7034598497906129,0.792780202226225,0.21840659340659338
original,remain,8,0.4846325167037861,0.9947295423023579,0.9929056519569684,0.711797405806053,0.5697318501497732,0.9896014876640647,0.005270457697642161,unlearning,remain,8,0.49175946547884186,0.9930651872399444,0.9907614335080076,0.7150092649783817,0.5892689123566499,0.9846442549169213,0.006934812760055475
original,remain,9,0.8365600975060941,0.7992173244982234,0.817827827901042,0.8181128137008397,0.8226347019239808,0.9053984163498119,0.20078267550177664,unlearning,remain,9,0.7253656478529908,0.8318208009219246,0.8163251643302397,0.7779543621613929,0.7615511154127441,0.8710371739958034,0.1681791990780755
original,remain,10,0.45666859679598537,0.9773504273504274,0.9360736387831889,0.7327984770193092,0.6047377624457374,0.9418880314660569,0.022649572649572663,unlearning,remain,10,0.5428971241073153,0.97991452991453,0.9536937422138753,0.7746577826126372,0.6853923792891078,0.9517868110304417,0.020085470085470087
original,remain,13,0.023584229390681003,0.9997619047619047,0.7954954954954955,0.48685499058380416,0.04259467782338541,0.5558116402116402,0.00023809523809525945,unlearning,remain,13,0.0821505376344086,0.9923809523809523,0.8973183093322948,0.5141242937853108,0.14118425174144528,0.7860393753200204,0.007619047619047599
original,remain,14,0.9913387775303143,0.8142222222222223,0.9219383353624554,0.9279923700524558,0.9514948337694714,0.9898624102944816,0.18577777777777782,unlearning,remain,14,0.977728285077951,0.8540000000000001,0.9353049644999846,0.9334763948497854,0.9529917853466655,0.9848903736698839,0.14600000000000002
original,remain,16,0.03192279138827023,0.9990740740740741,0.9473934018051665,0.5160363366703745,0.06124514002409303,0.8712600016497567,0.0009259259259258856,unlearning,remain,16,0.07256867112100966,0.9974074074074074,0.96097618154406,0.5355024100852799,0.1345910906059203,0.8636711210096512,0.002592592592592572
original,remain,17,0.02932442464736451,0.9917777777777778,0.4032459425717853,0.7700530186420386,0.05342482235768655,0.908954281118535,0.008222222222222242,unlearning,remain,17,0.0601336302895323,0.9984444444444445,0.7143484369511768,0.7822815118864375,0.10562208249340292,0.9579587973273943,0.0015555555555555323
original,remain,18,0.017350407082444074,0.9893981481481481,0.33414839897398035,0.4650121529998721,0.03223023146047044,0.93156346336258,0.010601851851851881,unlearning,remain,18,0.02545253339656944,0.9880092592592593,0.4567033150963256,0.46874333717112276,0.04621988937880195,0.9437622190604169,0.011990740740740746
original,remain,19,0.6400539447066756,0.9937333333333335,0.984228684522051,0.8179014415018439,0.6929030360489093,0.9794781299168352,0.00626666666666668,unlearning,remain,19,0.6539447066756575,0.9941777777777778,0.9862182723285997,0.8250307296904681,0.7088689881341413,0.9805252596089008,0.00582222222222221
original,remain,20,0.9985765124555159,0.44498058790904055,0.6112690610673359,0.7004927579513215,0.7569050701932638,0.9292925913584839,0.5550194120909595,unlearning,remain,20,0.9986412164348109,0.5130338325013866,0.6411193017020687,0.7371658951769449,0.7797873399925587,0.9721926215572628,0.48696616749861343
original,remain,21,0.8012005649717514,0.8544949494949494,0.8662018965812841,0.827831617201696,0.8206211208416125,0.9384979588051622,0.14550505050505053,unlearning,remain,21,0.742685633575464,0.8875757575757576,0.8833110181480506,0.815086816071068,0.7946706041005817,0.9263878596293851,0.11242424242424243
original,remain,23,0.9589309576837417,0.5861147046140578,0.6995083110905729,0.7695004382120947,0.8072245815068779,0.9066872576786515,0.41388529538594215,unlearning,remain,23,0.9502004454342984,0.6421733505821475,0.7262775309559402,0.793689745836985,0.8220979527914611,0.9013240097538395,0.3578266494178525
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,3,0.6663288940359003,0.6056060606060607,0.6247018834012744,0.6366597571809297,0.6289135608723851,0.6781412854661263,0.39439393939393935,unlearning,forget,3,0.3430322331596218,0.4738383838383838,0.4079261191252636,0.40694403316553157,0.3648505853939885,0.398034265644283,0.5261616161616162
 
original,remain,1,0.07642379891823099,0.9780974174566852,0.5420771043434705,0.5211544663011932,0.13026105555231554,0.8462040741439152,0.021902582543314803,unlearning,remain,1,0.026726057906458798,0.9650212487741091,0.3752735893638529,0.48951950983553694,0.04901703196529832,0.6775844472224426,0.03497875122589083
original,remain,5,0.9273978494623657,0.7456349206349207,0.7708310324635097,0.8328586171310629,0.8411223297056164,0.942626147806793,0.25436507936507935,unlearning,remain,5,0.9385806451612904,0.7105555555555555,0.7493007562891992,0.8199793601651187,0.8329227492880363,0.9458980372077146,0.2894444444444444
original,remain,6,0.7854683195592286,0.6034289784289785,0.6292662282301004,0.6889697950377562,0.6960028428317478,0.7736804178565543,0.3965710215710216,unlearning,remain,6,0.8068181818181819,0.624033374033374,0.6552272620960572,0.7099244875943904,0.7213708170598678,0.7884804063781338,0.375966625966626
original,remain,8,0.48507795100222706,0.9947295423023579,0.9929335214914993,0.7120444718962322,0.5702750028689184,0.9897825032666212,0.005270457697642161,unlearning,remain,8,0.5755011135857462,0.9916782246879334,0.9913620362430298,0.760840024706609,0.6559404142174375,0.986935059880332,0.00832177531206657
original,remain,9,0.8360678792424526,0.7995534428118698,0.8178734077967538,0.8180297926846625,0.8224639708790782,0.9052644250633713,0.2004465571881302,unlearning,remain,9,0.8588739921245078,0.7755930087390762,0.7994873460979913,0.8177332890554581,0.8260345928351953,0.8991574008361838,0.22440699126092384
original,remain,10,0.4588882455124493,0.976923076923077,0.9355892436805594,0.7336143595322274,0.6068448945363011,0.9421683580043453,0.02307692307692309,unlearning,remain,10,0.5922119281991893,0.9741452991452992,0.9465462363015749,0.7947602211948146,0.7208066414963993,0.9444168782385343,0.025854700854700857
original,remain,13,0.02372759856630824,0.9996825396825396,0.8322033898305085,0.48689265536723164,0.04265861535457647,0.5548207543949478,0.00031746031746030895,unlearning,remain,13,0.04946236559139785,0.9666666666666668,0.5664056318641203,0.48474576271186437,0.08824759034411156,0.30888358081583883,0.033333333333333326
