 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,1,0.9998090995863825,0.9998038574697613,0.9998091845821142,0.9998065140277329,0.9998090853951737,0.9999998835085195,0.00019614253023864897,unlearning,forget,1,0.0005090677696468342,0.017652827721477606,0.0005754567688102431,0.008964850048371494,0.0005402302731539318,0.007821019577121373,0.9823471722785225
 
original,remain,2,0.9985306122448979,0.995462962962963,0.9946927357521647,0.9968730456535334,0.9966065343549477,0.9999622826908542,0.004537037037037043,unlearning,remain,2,0.5706666666666668,0.9274074074074075,0.7972186476665154,0.7634271419637274,0.6293036249029901,0.7813704421768707,0.07259259259259258
original,remain,3,0.984944991314418,0.9938888888888888,0.9941637775190145,0.9893149738426613,0.9894583569692066,0.9996661314944464,0.006111111111111085,unlearning,remain,3,0.8696197645242231,0.8402525252525254,0.852722693727434,0.8552709505478235,0.8555429072009688,0.8999845589654508,0.15974747474747478
original,remain,5,0.9767741935483871,0.991904761904762,0.9911232793891138,0.9846439628482972,0.9836627307954323,0.999189964157706,0.00809523809523809,unlearning,remain,5,0.5902795698924731,0.8462698412698412,0.7205856077478743,0.7234262125902993,0.6313022911783335,0.7852191841611196,0.15373015873015874
original,remain,6,0.9151744719926539,0.9187525437525438,0.9125969718919562,0.9170711974110033,0.9120841327949127,0.980609050566437,0.08124745624745626,unlearning,remain,6,0.6215564738292011,0.7176434676434676,0.6902031802995338,0.6724919093851134,0.6346603718546397,0.7684166764422445,0.2823565323565324
original,remain,8,0.9937639198218264,0.9966666666666667,0.9966692226004852,0.9952169076751947,0.9951987164565418,0.9997456075228903,0.0033333333333333214,unlearning,remain,8,0.611358574610245,0.9697777777777778,0.9450480767775777,0.7907675194660734,0.7125366069237995,0.8909012620638457,0.030222222222222216
original,remain,9,0.9872492030751921,0.9951262844521271,0.9951929915582707,0.9911404715593719,0.991184657576758,0.9996282269082324,0.004873715547872831,unlearning,remain,9,0.8287783611475719,0.5978344377220781,0.6798177741026367,0.7146923478343374,0.746683825628397,0.737974665263309,0.4021655622779219
original,remain,10,0.9768867014089944,0.9893162393162394,0.9877095533720283,0.9834783791134076,0.982242154893811,0.997974242671695,0.010683760683760682,unlearning,remain,10,0.5897510133178924,0.9011965811965812,0.8215944348608507,0.7549179584806455,0.6779408356730742,0.8579028278869042,0.09880341880341882
original,remain,13,0.9873835125448028,0.9936507936507937,0.9943563006577074,0.9903578154425613,0.9907425987241382,0.9999662741082096,0.006349206349206345,unlearning,remain,13,0.9381362007168459,0.851031746031746,0.9019637092713227,0.8967984934086629,0.9115059366461168,0.9135217443249702,0.14896825396825394
original,remain,14,0.9390002474634991,0.9804444444444446,0.9884970240127754,0.9538229216340804,0.9628494477190044,0.9927681267013115,0.019555555555555548,unlearning,remain,14,0.6608512744370205,0.688888888888889,0.780516077329402,0.6708790335399778,0.7055229924827477,0.7059257609502598,0.31111111111111106
original,remain,16,0.891796585003712,0.7038888888888888,0.7570650409124101,0.7977382276603634,0.8128122246444788,0.9021329291429514,0.29611111111111116,unlearning,remain,16,0.6044914625092799,0.4768518518518518,0.5467119603981664,0.5406006674082314,0.5667976034779969,0.5497511960735791,0.5231481481481483
original,remain,17,0.9866369710467705,0.9834444444444445,0.9473174707001352,0.9841799213271764,0.9664797144008572,0.9987456075228903,0.016555555555555546,unlearning,remain,17,0.43801039346696363,0.9375555555555556,0.627387890818551,0.8224730631092868,0.4848723862663363,0.7299887404107893,0.062444444444444414
original,remain,18,0.9958106078570864,0.9977777777777778,0.9981000553718036,0.9967165579292994,0.9969411328885717,0.9999613996258531,0.0022222222222222365,unlearning,remain,18,0.8696940953284326,0.7862037037037037,0.8419360808511369,0.831243870197433,0.8472620896727435,0.8643920605749217,0.2137962962962963
original,remain,19,0.9989211058664869,0.9982222222222221,0.9982031862085491,0.9985696725891161,0.9985617711515525,0.9999905956394696,0.001777777777777804,unlearning,remain,19,0.3884917959091931,0.9213333333333334,0.6572529408289434,0.6564308861325288,0.41953029865487884,0.6017401303663744,0.0786666666666667
original,remain,20,1.0,0.9779811425402108,0.9760694290749617,0.9881439450500225,0.9876141160633155,0.9998041565219046,0.022018857459789244,unlearning,remain,20,0.1990294403105791,0.8356627842484748,0.16771479022969613,0.5418246976258025,0.17842476534715374,0.42781701406028605,0.16433721575152524
original,remain,21,0.9735673930589186,0.9573737373737374,0.9590688473136094,0.9654754694124772,0.9659693746472686,0.9947216005902446,0.04262626262626262,unlearning,remain,21,0.7487389023405973,0.7292424242424242,0.7388476065852756,0.7389965677367253,0.7426550417835098,0.7991832061535451,0.27075757575757575
original,remain,22,0.8708240534521158,0.8783165599268069,0.46875077705176205,0.8775295356182009,0.6076649270518367,0.94183206469073,0.1216834400731931,unlearning,remain,22,0.4966592427616927,0.6464514442556528,0.17068508168431268,0.6307170429289976,0.2488855652283723,0.6387318833091384,0.3535485557443472
original,remain,23,0.9914476614699332,0.9940491591203106,0.9938265637088024,0.9927695004382121,0.9926052671452782,0.9996673168586028,0.005950840879689534,unlearning,remain,23,0.3512694877505568,0.7321259163432514,0.42288733159880343,0.5447852760736196,0.3736097676538404,0.5483456024647749,0.2678740836567486
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,2,0.9985306122448979,0.995462962962963,0.9946927357521647,0.9968730456535334,0.9966065343549477,0.9999622826908542,0.004537037037037043,unlearning,forget,2,0.06410884353741497,0.08152777777777777,0.054256494106012805,0.07352095059412132,0.05876747458219941,0.055195544217687076,0.9184722222222222
 
original,remain,1,0.9998090995863825,0.9998038574697613,0.9998091845821142,0.9998065140277329,0.9998090853951737,0.9999998835085195,0.00019614253023864897,unlearning,remain,1,0.9736557429207764,0.6878064727034978,0.7900280578387165,0.8326668816510802,0.8636677877810245,0.8359255211719624,0.3121935272965021
original,remain,3,0.984944991314418,0.9938888888888888,0.9941637775190145,0.9893149738426613,0.9894583569692066,0.9996661314944464,0.006111111111111085,unlearning,remain,3,0.9494788650839606,0.6046464646464647,0.7266997364326864,0.780993978876715,0.8201284169919513,0.8118179478631129,0.39535353535353535
original,remain,5,0.9767741935483871,0.991904761904762,0.9911232793891138,0.9846439628482972,0.9836627307954323,0.999189964157706,0.00809523809523809,unlearning,remain,5,0.5701505376344086,0.7415873015873016,0.6254940467134137,0.6593188854489165,0.5868877762381535,0.7250415770609319,0.25841269841269837
original,remain,6,0.9151744719926539,0.9187525437525438,0.9125969718919562,0.9170711974110033,0.9120841327949127,0.980609050566437,0.08124745624745626,unlearning,remain,6,0.5400022956841137,0.5028998778998779,0.48638279055517625,0.520334412081985,0.5095752916450063,0.5469241143957054,0.49710012210012217
original,remain,8,0.9937639198218264,0.9966666666666667,0.9966692226004852,0.9952169076751947,0.9951987164565418,0.9997456075228903,0.0033333333333333214,unlearning,remain,8,0.557683741648107,0.7422222222222221,0.6711993072505649,0.6500556173526141,0.6073098710344187,0.6443285077951002,0.25777777777777783
original,remain,9,0.9872492030751921,0.9951262844521271,0.9951929915582707,0.9911404715593719,0.991184657576758,0.9996282269082324,0.004873715547872831,unlearning,remain,9,0.8632570785674105,0.4287909344089119,0.6121943575296751,0.6486313392475924,0.7152763946254258,0.6623488032572765,0.5712090655910881
original,remain,10,0.9768867014089944,0.9893162393162394,0.9877095533720283,0.9834783791134076,0.982242154893811,0.997974242671695,0.010683760683760682,unlearning,remain,10,0.5626809496236248,0.5355982905982906,0.5097138962547534,0.5483183754872631,0.5323305025779836,0.5713849420218847,0.4644017094017094
original,remain,13,0.9873835125448028,0.9936507936507937,0.9943563006577074,0.9903578154425613,0.9907425987241382,0.9999662741082096,0.006349206349206345,unlearning,remain,13,0.6473835125448029,0.8255555555555555,0.8463695043498216,0.731939736346516,0.7009570144533307,0.8873899982932242,0.17444444444444449
original,remain,14,0.9390002474634991,0.9804444444444446,0.9884970240127754,0.9538229216340804,0.9628494477190044,0.9927681267013115,0.019555555555555548,unlearning,remain,14,0.5967582281613463,0.853111111111111,0.882889985142045,0.6884438086154825,0.7068201049276035,0.8037943578322198,0.14688888888888887
original,remain,16,0.891796585003712,0.7038888888888888,0.7570650409124101,0.7977382276603634,0.8128122246444788,0.9021329291429514,0.29611111111111116,unlearning,remain,16,0.22494432071269488,0.7283333333333334,0.45749570895699115,0.47691879866518355,0.28485666554972794,0.5287505155489565,0.27166666666666667
original,remain,17,0.9866369710467705,0.9834444444444445,0.9473174707001352,0.9841799213271764,0.9664797144008572,0.9987456075228903,0.016555555555555546,unlearning,remain,17,0.5244988864142539,0.856,0.4599533080652223,0.7796305797845049,0.4804606702690659,0.6432391116060382,0.144
original,remain,18,0.9958106078570864,0.9977777777777778,0.9981000553718036,0.9967165579292994,0.9969411328885717,0.9999613996258531,0.0022222222222222365,unlearning,remain,18,0.9006402655916528,0.7918981481481482,0.8442091848689323,0.850560743678308,0.8677290509830833,0.876472501075892,0.2081018518518519
original,remain,19,0.9989211058664869,0.9982222222222221,0.9982031862085491,0.9985696725891161,0.9985617711515525,0.9999905956394696,0.001777777777777804,unlearning,remain,19,0.93859294223421,0.7648,0.7987626767448542,0.8512012515364845,0.8619860585598195,0.9050056881696261,0.2352
original,remain,20,1.0,0.9779811425402108,0.9760694290749617,0.9881439450500225,0.9876141160633155,0.9998041565219046,0.022018857459789244,unlearning,remain,20,0.7807182141701714,0.698724348308375,0.7054998847234442,0.7365686128117067,0.7303246984467899,0.7875397469223892,0.30127565169162507
original,remain,21,0.9735673930589186,0.9573737373737374,0.9590688473136094,0.9654754694124772,0.9659693746472686,0.9947216005902446,0.04262626262626262,unlearning,remain,21,0.8181497175141242,0.6275757575757576,0.6912450288562593,0.722920452251161,0.7486855000502621,0.7713740818189971,0.37242424242424244
original,remain,22,0.8708240534521158,0.8783165599268069,0.46875077705176205,0.8775295356182009,0.6076649270518367,0.94183206469073,0.1216834400731931,unlearning,remain,22,0.6798440979955456,0.8377989805254216,0.3657840890918981,0.8212071587320154,0.4702506864777451,0.8362031951221713,0.1622010194745785
original,remain,23,0.9914476614699332,0.9940491591203106,0.9938265637088024,0.9927695004382121,0.9926052671452782,0.9996673168586028,0.005950840879689534,unlearning,remain,23,0.9857461024498887,0.6141440275981027,0.7328065520048874,0.7969325153374233,0.83491137862139,0.8702727252646145,0.38585597240189734
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,3,0.984944991314418,0.9938888888888888,0.9941637775190145,0.9893149738426613,0.9894583569692066,0.9996661314944464,0.006111111111111085,unlearning,forget,3,0.4289229878401853,0.24893939393939393,0.31107156387779095,0.3409831211134143,0.35421163988526577,0.17951406801073852,0.7510606060606061
 
original,remain,1,0.9998090995863825,0.9998038574697613,0.9998091845821142,0.9998065140277329,0.9998090853951737,0.9999998835085195,0.00019614253023864897,unlearning,remain,1,0.9359847279669106,0.8516508662961753,0.874117120226542,0.8943889068042566,0.9020172959322524,0.9029354833777578,0.14834913370382477
original,remain,2,0.9985306122448979,0.995462962962963,0.9946927357521647,0.9968730456535334,0.9966065343549477,0.9999622826908542,0.004537037037037043,unlearning,remain,2,0.7655510204081631,0.7318518518518519,0.7053297087336204,0.7473420888055035,0.7321749346425857,0.8537883484504913,0.26814814814814814
original,remain,5,0.9767741935483871,0.991904761904762,0.9911232793891138,0.9846439628482972,0.9836627307954323,0.999189964157706,0.00809523809523809,unlearning,remain,5,0.6161720430107527,0.8220634920634922,0.7448899197667587,0.7232610939112487,0.6628626875144387,0.7577817033623485,0.17793650793650792
original,remain,6,0.9151744719926539,0.9187525437525438,0.9125969718919562,0.9170711974110033,0.9120841327949127,0.980609050566437,0.08124745624745626,unlearning,remain,6,0.7839187327823693,0.3560744810744811,0.5205907567944843,0.5571197411003236,0.6238209037625341,0.597941804617941,0.6439255189255189
original,remain,8,0.9937639198218264,0.9966666666666667,0.9966692226004852,0.9952169076751947,0.9951987164565418,0.9997456075228903,0.0033333333333333214,unlearning,remain,8,0.6106904231625835,0.5917777777777777,0.5635323565936179,0.6012235817575083,0.5806452300781857,0.5124946795347687,0.40822222222222226
original,remain,9,0.9872492030751921,0.9951262844521271,0.9951929915582707,0.9911404715593719,0.991184657576758,0.9996282269082324,0.004873715547872831,unlearning,remain,9,0.8873523345209076,0.35686161528858157,0.5925266655123882,0.6252905735566204,0.7080551558360528,0.7078927480954451,0.6431383847114184
original,remain,10,0.9768867014089944,0.9893162393162394,0.9877095533720283,0.9834783791134076,0.982242154893811,0.997974242671695,0.010683760683760682,unlearning,remain,10,0.755307855626327,0.4356410256410257,0.5432967988169239,0.5857809808720877,0.6294408279209254,0.5896771116357102,0.5643589743589743
original,remain,13,0.9873835125448028,0.9936507936507937,0.9943563006577074,0.9903578154425613,0.9907425987241382,0.9999662741082096,0.006349206349206345,unlearning,remain,13,0.5807168458781362,0.8812698412698411,0.778274288386034,0.7233521657250471,0.6437115216772235,0.8504065028161802,0.11873015873015874
original,remain,14,0.9390002474634991,0.9804444444444446,0.9884970240127754,0.9538229216340804,0.9628494477190044,0.9927681267013115,0.019555555555555548,unlearning,remain,14,0.5184360306854738,0.4242222222222222,0.5819130049526431,0.48474010491177877,0.5182948133463207,0.5057896560257363,0.5757777777777778
original,remain,16,0.891796585003712,0.7038888888888888,0.7570650409124101,0.7977382276603634,0.8128122246444788,0.9021329291429514,0.29611111111111116,unlearning,remain,16,0.6670378619153675,0.3887037037037037,0.5280173240702563,0.5277159807193178,0.5877708865306571,0.5409948032665182,0.6112962962962963
original,remain,17,0.9866369710467705,0.9834444444444445,0.9473174707001352,0.9841799213271764,0.9664797144008572,0.9987456075228903,0.016555555555555546,unlearning,remain,17,0.47067557535263543,0.8925555555555555,0.5110945378513856,0.7953651445185566,0.48047754523725167,0.5955898911160603,0.10744444444444445
original,remain,18,0.9958106078570864,0.9977777777777778,0.9981000553718036,0.9967165579292994,0.9969411328885717,0.9999613996258531,0.0022222222222222365,unlearning,remain,18,0.8376808157457908,0.5628703703703704,0.7004918029926736,0.7111210609355677,0.7557668421651602,0.754226922114194,0.43712962962962965
original,remain,19,0.9989211058664869,0.9982222222222221,0.9982031862085491,0.9985696725891161,0.9985617711515525,0.9999905956394696,0.001777777777777804,unlearning,remain,19,0.46967857945605757,0.7438222222222222,0.4579571656316921,0.6075315677729356,0.4579815904611107,0.4739483569341425,0.2561777777777778
original,remain,20,1.0,0.9779811425402108,0.9760694290749617,0.9881439450500225,0.9876141160633155,0.9998041565219046,0.022018857459789244,unlearning,remain,20,0.2887091556130702,0.6548530227398779,0.27807839918304256,0.4858593400029864,0.2695324262822209,0.47374861230061044,0.345146977260122
original,remain,21,0.9735673930589186,0.9573737373737374,0.9590688473136094,0.9654754694124772,0.9659693746472686,0.9947216005902446,0.04262626262626262,unlearning,remain,21,0.6947639225181599,0.5275252525252525,0.6152306285672512,0.6111952352109833,0.6477186485739044,0.6625808529198359,0.4724747474747475
original,remain,22,0.8708240534521158,0.8783165599268069,0.46875077705176205,0.8775295356182009,0.6076649270518367,0.94183206469073,0.1216834400731931,unlearning,remain,22,0.7683741648106904,0.5891386746830479,0.19700569389309913,0.6079658439583577,0.30974985353877327,0.6188225901151545,0.4108613253169521
original,remain,23,0.9914476614699332,0.9940491591203106,0.9938265637088024,0.9927695004382121,0.9926052671452782,0.9996673168586028,0.005950840879689534,unlearning,remain,23,0.5386191536748329,0.5532557136696853,0.40209422626055485,0.5460560911481157,0.45601795074236984,0.45554675187350363,0.4467442863303147
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,5,0.9767741935483871,0.991904761904762,0.9911232793891138,0.9846439628482972,0.9836627307954323,0.999189964157706,0.00809523809523809,unlearning,forget,5,0.2294193548387097,0.009206349206349206,0.13661107724939803,0.1148813209494324,0.16919986808226836,0.07809945383171188,0.9907936507936508
 
original,remain,1,0.9998090995863825,0.9998038574697613,0.9998091845821142,0.9998065140277329,0.9998090853951737,0.9999998835085195,0.00019614253023864897,unlearning,remain,1,0.998218262806236,0.8281791435109513,0.8814748975938376,0.9143502096098034,0.9302597918221599,0.9143808295795167,0.1718208564890487
original,remain,2,0.9985306122448979,0.995462962962963,0.9946927357521647,0.9968730456535334,0.9966065343549477,0.9999622826908542,0.004537037037037043,unlearning,remain,2,0.6710748299319729,0.9091203703703704,0.7776514624994358,0.7996998123827392,0.6835567092257162,0.7927717913832201,0.09087962962962963
original,remain,3,0.984944991314418,0.9938888888888888,0.9941637775190145,0.9893149738426613,0.9894583569692066,0.9996661314944464,0.006111111111111085,unlearning,remain,3,0.9635205558772437,0.7353030303030303,0.804804919988411,0.8520136215575955,0.8732169381423689,0.9006553812590292,0.2646969696969697
original,remain,6,0.9151744719926539,0.9187525437525438,0.9125969718919562,0.9170711974110033,0.9120841327949127,0.980609050566437,0.08124745624745626,unlearning,remain,6,0.49460514233241504,0.7113349613349613,0.6064809611606568,0.6094929881337648,0.5346881242777948,0.6327029714813804,0.2886650386650386
original,remain,8,0.9937639198218264,0.9966666666666667,0.9966692226004852,0.9952169076751947,0.9951987164565418,0.9997456075228903,0.0033333333333333214,unlearning,remain,8,0.41870824053452116,0.9993333333333334,0.998786317186771,0.7093437152391546,0.5506984371713071,0.8738379114080674,0.0006666666666666377
original,remain,9,0.9872492030751921,0.9951262844521271,0.9951929915582707,0.9911404715593719,0.991184657576758,0.9996282269082324,0.004873715547872831,unlearning,remain,9,0.8692105756609788,0.583645443196005,0.6845923380978249,0.72814175245505,0.7646187090843579,0.7356051509017354,0.416354556803995
original,remain,10,0.9768867014089944,0.9893162393162394,0.9877095533720283,0.9834783791134076,0.982242154893811,0.997974242671695,0.010683760683760682,unlearning,remain,10,0.6309110210384096,0.6908547008547009,0.6368199778707627,0.662700571117759,0.6311299634190524,0.7119307912540397,0.30914529914529915
original,remain,13,0.9873835125448028,0.9936507936507937,0.9943563006577074,0.9903578154425613,0.9907425987241382,0.9999662741082096,0.006349206349206345,unlearning,remain,13,0.9617204301075267,0.8103968253968254,0.8683036911222901,0.8899058380414312,0.9078988347702391,0.9123590032428743,0.18960317460317463
original,remain,14,0.9390002474634991,0.9804444444444446,0.9884970240127754,0.9538229216340804,0.9628494477190044,0.9927681267013115,0.019555555555555548,unlearning,remain,14,0.5300668151447662,0.8355555555555556,0.775065605920794,0.6393260213002702,0.584477097873572,0.8035945723005856,0.16444444444444442
original,remain,16,0.891796585003712,0.7038888888888888,0.7570650409124101,0.7977382276603634,0.8128122246444788,0.9021329291429514,0.29611111111111116,unlearning,remain,16,0.3995916852264291,0.6344444444444445,0.49665698584011936,0.5171486837226548,0.435814342024276,0.5644252660232616,0.3655555555555556
original,remain,17,0.9866369710467705,0.9834444444444445,0.9473174707001352,0.9841799213271764,0.9664797144008572,0.9987456075228903,0.016555555555555546,unlearning,remain,17,0.43875278396436523,0.8658888888888888,0.4804823546302511,0.7674876004788781,0.45517104810622105,0.5911401262063846,0.1341111111111111
original,remain,18,0.9958106078570864,0.9977777777777778,0.9981000553718036,0.9967165579292994,0.9969411328885717,0.9999613996258531,0.0022222222222222365,unlearning,remain,18,0.9313493004505573,0.815138888888889,0.8729445093293119,0.8778303697070488,0.8953929631844734,0.8981578201986666,0.18486111111111114
original,remain,19,0.9989211058664869,0.9982222222222221,0.9982031862085491,0.9985696725891161,0.9985617711515525,0.9999905956394696,0.001777777777777804,unlearning,remain,19,0.5444819060463025,0.8176,0.5452324582349269,0.681819197675718,0.531670339466199,0.6144191084138758,0.1824
original,remain,20,1.0,0.9779811425402108,0.9760694290749617,0.9881439450500225,0.9876141160633155,0.9998041565219046,0.022018857459789244,unlearning,remain,20,0.27402135231316727,0.8621741541874653,0.44813497431147375,0.5907122592205465,0.29731894656736496,0.722202687816937,0.13782584581253468
original,remain,21,0.9735673930589186,0.9573737373737374,0.9590688473136094,0.9654754694124772,0.9659693746472686,0.9947216005902446,0.04262626262626262,unlearning,remain,21,0.8547215496368039,0.5595454545454546,0.6637675268932651,0.7072228952150212,0.7447773395000008,0.8120394828021946,0.44045454545454543
original,remain,22,0.8708240534521158,0.8783165599268069,0.46875077705176205,0.8775295356182009,0.6076649270518367,0.94183206469073,0.1216834400731931,unlearning,remain,22,0.5573496659242761,0.6390667886550778,0.1509113222083458,0.6304830974382969,0.23743746273686395,0.6622335857810339,0.36093321134492223
original,remain,23,0.9914476614699332,0.9940491591203106,0.9938265637088024,0.9927695004382121,0.9926052671452782,0.9996673168586028,0.005950840879689534,unlearning,remain,23,0.7015590200445434,0.6922811556705477,0.6944514265630595,0.6968448729184925,0.6895415715140877,0.7374405295270694,0.3077188443294523
 
 
 
