 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,1,0.9999363665287941,0.9999346191565871,0.9999363948607048,0.999935504675911,0.9999363665256377,1.0,6.538084341288299e-05,unlearning,forget,1,0.005663378937321031,0.03949002942137953,0.0061511888963781,0.02234762979683973,0.005893654686549343,0.0018560296354326318,0.9605099705786204
 
original,remain,2,0.9977142857142857,0.999212962962963,0.9990741386345537,0.9985240775484678,0.9983915479588724,0.9999926530612244,0.0007870370370370491,unlearning,remain,2,0.662530612244898,0.7766666666666667,0.7045256244758855,0.724202626641651,0.6762426774572683,0.8125220143613001,0.22333333333333336
original,remain,3,0.9979733642154024,0.9968686868686868,0.9970425527483332,0.9974336195834567,0.9974964018416048,0.9999923672158763,0.003131313131313133,unlearning,remain,3,0.745078170237406,0.7890909090909091,0.7535353036939557,0.7665827657684335,0.7354895938666087,0.8394621226743405,0.2109090909090909
original,remain,5,0.9960430107526882,0.9915079365079364,0.9909070975724171,0.9936842105263157,0.9934427963981012,0.9998440689537464,0.008492063492063485,unlearning,remain,5,0.7260215053763441,0.7149206349206348,0.7025669818761779,0.7202476780185758,0.7098014769129659,0.791452654036525,0.28507936507936504
original,remain,6,0.9457644628099173,0.9461741961741963,0.9413995305895421,0.9459816612729234,0.9423924524483858,0.9922828118850846,0.05382580382580382,unlearning,remain,6,0.5332300275482094,0.6354293854293854,0.5699513753886927,0.5874056094929881,0.5435490667083186,0.6142255130181268,0.36457061457061457
original,remain,8,0.9968819599109132,0.9982222222222223,0.9982221869946881,0.9975528364849833,0.9975481149433236,0.9998871566443951,0.001777777777777745,unlearning,remain,8,0.7815144766146993,0.4913333333333333,0.6158260689649337,0.6362625139043383,0.6861580711925944,0.6507099727790152,0.5086666666666667
original,remain,9,0.9911166322895181,0.9979112647651973,0.9979471114245548,0.9944731723516296,0.9944972473053241,0.9998853982500958,0.0020887352348026855,unlearning,remain,9,0.8636321020063754,0.3990444636512053,0.6073903531852033,0.634126381706912,0.7071427469786263,0.6224211815114705,0.6009555363487947
original,remain,10,0.9885157305539471,0.9894017094017094,0.9880727584136633,0.9889855860756053,0.9882743182511886,0.9991252431220584,0.010598290598290594,unlearning,remain,10,0.6831210191082803,0.6236324786324786,0.6107729709955944,0.6515728401776811,0.6427693189050515,0.7106988924027141,0.37636752136752144
original,remain,13,0.9756272401433691,0.9992063492063492,0.9992713991473566,0.9868173258003766,0.9868600206308823,0.9998962962962964,0.0007936507936507908,unlearning,remain,13,0.9585663082437277,0.7927777777777777,0.8597416480594687,0.8798870056497176,0.9009030543146522,0.9272385560675883,0.2072222222222222
original,remain,14,0.9737688690918089,0.9904444444444445,0.9944334746690483,0.9797329518359561,0.9837075114883184,0.9969276581704198,0.00955555555555554,unlearning,remain,14,0.4133877753031428,0.6882222222222222,0.6963190564560545,0.5116833571769194,0.512306370158364,0.5778345294069125,0.3117777777777777
original,remain,16,0.8567186340014848,0.9298148148148148,0.9259133578260869,0.8933073785687803,0.8881519015688246,0.9686851439412688,0.07018518518518518,unlearning,remain,16,0.5705270972531552,0.6266666666666667,0.6034057479789512,0.5986281053021876,0.5840453953208415,0.6296318980450385,0.37333333333333335
original,remain,17,0.9777282850779511,0.9926666666666666,0.9755397410226894,0.9892252437147254,0.9765441860456153,0.9990147240781985,0.00733333333333334,unlearning,remain,17,0.7331106161841129,0.8744444444444445,0.6331486467708715,0.8418847272105353,0.6780101935677942,0.8838422420193021,0.12555555555555553
original,remain,18,0.9979053039285434,0.9982407407407408,0.9984994041156622,0.9980597842309497,0.9982002859767553,0.9999921613574685,0.0017592592592592566,unlearning,remain,18,0.7146865860406292,0.8448148148148148,0.8386348242033165,0.7746151550040511,0.7505310447924929,0.846411394795317,0.15518518518518518
original,remain,19,0.9997302764666216,0.9993333333333334,0.9993261453974727,0.9995306738183037,0.9995280943972168,0.9999997003071851,0.0006666666666666673,unlearning,remain,19,0.6647786019330186,0.8721333333333332,0.8343036764397663,0.7690468208738407,0.7276908485107642,0.8692726815014611,0.12786666666666668
original,remain,20,0.9996117761242317,0.9990016638935109,0.9988379150249376,0.9992832611617143,0.9992241895716741,0.999998528639406,0.0009983361064891838,unlearning,remain,20,0.7486897444192818,0.8195784803105935,0.7749147900122678,0.7868597879647603,0.7568346773057221,0.8692116988239702,0.18042151968940656
original,remain,21,0.991273204196933,0.981919191919192,0.982542459606725,0.9865990308903695,0.9868008584719733,0.9985623028101842,0.018080808080808114,unlearning,remain,21,0.8845338983050847,0.5207070707070707,0.6615504725194004,0.7027306682818494,0.7536605917999124,0.7578766223575546,0.4792929292929293
original,remain,22,0.9832962138084633,0.8804077898313947,0.5087417845783657,0.8912153468241899,0.6655271342771343,0.9831534314771435,0.11959221016860538,unlearning,remain,22,0.5217149220489977,0.4613775976996471,0.0993350071096772,0.467715522283308,0.16675609803466562,0.46876138001379203,0.538622402300353
original,remain,23,0.9966146993318485,0.9945666235446314,0.9943959635206461,0.9955740578439964,0.9955014419837772,0.9999051123141743,0.005433376455368677,unlearning,remain,23,0.5760356347438752,0.7708495040965934,0.7321012446321086,0.6750219106047327,0.6202407427844868,0.7585009858523228,0.22915049590340666
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,2,0.9977142857142857,0.999212962962963,0.9990741386345537,0.9985240775484678,0.9983915479588724,0.9999926530612244,0.0007870370370370491,unlearning,forget,2,0.31820408163265307,0.05212962962962963,0.18048828317657195,0.17443402126328955,0.22876150214633317,0.09780252078609221,0.9478703703703704
 
original,remain,1,0.9999363665287941,0.9999346191565871,0.9999363948607048,0.999935504675911,0.9999363665256377,1.0,6.538084341288299e-05,unlearning,remain,1,0.9254852052179446,0.7042824452435436,0.7860349765910516,0.816381812318607,0.8454823665528272,0.8314981314038461,0.2957175547564564
original,remain,3,0.9979733642154024,0.9968686868686868,0.9970425527483332,0.9974336195834567,0.9974964018416048,0.9999923672158763,0.003131313131313133,unlearning,remain,3,0.7957923180853118,0.6954040404040405,0.7189129728752489,0.746742671009772,0.7486574887884071,0.8463565738449931,0.3045959595959596
original,remain,5,0.9960430107526882,0.9915079365079364,0.9909070975724171,0.9936842105263157,0.9934427963981012,0.9998440689537464,0.008492063492063485,unlearning,remain,5,0.8437849462365591,0.5942063492063492,0.6594968518311422,0.7139731682146542,0.7394639596201162,0.8049553507424475,0.40579365079365076
original,remain,6,0.9457644628099173,0.9461741961741963,0.9413995305895421,0.9459816612729234,0.9423924524483858,0.9922828118850846,0.05382580382580382,unlearning,remain,6,0.6877295684113868,0.5271164021164021,0.5716722410284412,0.602588996763754,0.6199484671405033,0.6317470933948207,0.4728835978835979
original,remain,8,0.9968819599109132,0.9982222222222223,0.9982221869946881,0.9975528364849833,0.9975481149433236,0.9998871566443951,0.001777777777777745,unlearning,remain,8,0.6919821826280623,0.8882222222222221,0.8590466800911992,0.7902113459399333,0.7529015029814075,0.8432952239544667,0.11177777777777778
