 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,1,1.0,0.9999346191565871,0.9999363948607048,0.9999677523379555,0.9999681903489519,1.0,6.538084341288299e-05,unlearning,forget,1,0.0003181673560292714,0.9998692383131742,0.2571428571428572,0.49332473395678805,0.0006351467865270182,0.821193993990496,0.00013076168682576598
 
original,remain,2,0.9991292517006802,0.9980555555555556,0.9977196532849327,0.9985490931832396,0.9984231700696947,0.9999925623582766,0.0019444444444444153,unlearning,remain,2,0.974530612244898,0.9976851851851851,0.997242353245028,0.9870419011882426,0.9854505457274721,0.9994837074829932,0.0023148148148148064
original,remain,3,0.9997104806022005,0.9939898989898991,0.9943668065430248,0.996915408153193,0.9970124213791499,0.9999863282506595,0.006010101010100984,unlearning,remain,3,0.9995657209033005,0.9755050505050505,0.9772610541535712,0.9878096930214193,0.9882530802345029,0.999801774256754,0.024494949494949497
original,remain,5,0.9856344086021505,0.9982539682539683,0.9980726340003898,0.9921981424148607,0.9916389408007262,0.9998867383512545,0.0017460317460317397,unlearning,remain,5,0.9719569892473118,0.9976190476190476,0.9973220893542807,0.9853044375644995,0.9838700917311675,0.9996867383512547,0.0023809523809523725
original,remain,6,0.984848484848485,0.8622812372812373,0.8710858716135331,0.9198759439050702,0.9223557690587272,0.9923387455347683,0.1377187627187627,unlearning,remain,6,0.9650482093663911,0.8618233618233618,0.8701404236155136,0.9103290183387271,0.9122138141227057,0.9876878172332718,0.13817663817663817
original,remain,8,0.9977728285077951,0.9995555555555555,0.9995530703939097,0.9986651835372635,0.9986610865123813,0.9999750061865875,0.0004444444444444251,unlearning,remain,8,0.9846325167037863,0.9993333333333334,0.9993178992572117,0.9919911012235817,0.9919015489064332,0.9998881464983915,0.0006666666666666377
original,remain,9,0.9956637914869679,0.9916690675117641,0.9919144587289499,0.99369040277053,0.9937820839346561,0.9997558525562558,0.008330932488235882,unlearning,remain,9,0.9935308456778549,0.9864352251992702,0.986970327418366,0.9900256179135634,0.9902111942145106,0.9993949829837571,0.013564774800729845
original,remain,10,0.9908801389693109,0.9951709401709401,0.9945268831327262,0.9931556522527423,0.9926944268107252,0.9997328379334748,0.004829059829059827,unlearning,remain,10,0.9656436981277746,0.9968376068376069,0.9962009783405885,0.9821865651346208,0.9804822995022172,0.998997211210587,0.0031623931623931587
original,remain,13,0.989247311827957,0.9903968253968253,0.9916955497617354,0.9897928436911488,0.9902910657033214,0.999942003754907,0.009603174603174613,unlearning,remain,13,0.9817921146953404,0.965,0.9710547289332637,0.9738229755178907,0.9757203602255945,0.9985480116060761,0.034999999999999996
original,remain,14,0.9804503835684236,0.9877777777777778,0.9931702001774756,0.9830710538865045,0.986324650920062,0.9980552668481399,0.012222222222222226,unlearning,remain,14,0.9793367978223212,0.9753333333333334,0.9862577293312463,0.9779049435701795,0.9822933496596997,0.9963426544584674,0.02466666666666667
original,remain,16,0.9719747587230883,0.862037037037037,0.8791237955046417,0.9169447534297368,0.9219758103061344,0.979453724325662,0.13796296296296298,unlearning,remain,16,0.932256867112101,0.6898148148148148,0.7592596220442623,0.8109010011123471,0.8309108328071712,0.9271420028045863,0.3101851851851852
original,remain,17,0.9933184855233853,0.9936666666666666,0.9791978630375698,0.9935864545920984,0.9861871091230867,0.9995363771343727,0.006333333333333302,unlearning,remain,17,0.85003711952487,0.992,0.9696220041118204,0.9592953651445185,0.9037889906115787,0.9956536748329622,0.00799999999999997
original,remain,18,0.9959686981266304,0.9998148148148148,0.9998415605018977,0.9977399684448424,0.9978989370927241,0.9999964319904443,0.00018518518518519564,unlearning,remain,18,0.9942692277290331,0.9993518518518519,0.9994424765419435,0.9966099526672636,0.9968384940301438,0.9999861671014149,0.0006481481481481569
original,remain,19,0.9999100921555405,0.9988,0.9987878724785658,0.9993518828919433,0.9993486149006895,0.9999994905222147,0.001200000000000016,unlearning,remain,19,0.9998201843110811,0.9981777777777778,0.9981608503047364,0.9989943010392223,0.9989896553940852,0.9999979321195774,0.0018222222222222066
original,remain,20,1.0,0.9892401552967277,0.9877528781041534,0.9942063610571898,0.9938012049483229,0.9998333056107466,0.010759844703272315,unlearning,remain,20,1.0,0.9731003882418193,0.9706941051730198,0.9855159026429744,0.9848507448544617,0.9997504159733778,0.026899611758180807
original,remain,21,0.9985371267150929,0.9869191919191919,0.9872766009176193,0.9927316777710479,0.9928269851069882,0.9997876056774361,0.01308080808080811,unlearning,remain,21,0.9981335754640839,0.9633838383838385,0.9656702891371435,0.9807692307692308,0.9813877933178363,0.9992703263465975,0.0366161616161616
original,remain,22,0.9643652561247216,0.9207946673637433,0.5926061432230099,0.9253713884664874,0.7330660910679412,0.983886264339727,0.07920533263625668,unlearning,remain,22,0.8619153674832962,0.8809305973075415,0.4702682355486106,0.878933208562405,0.6071709841814223,0.9439264238716921,0.11906940269245847
original,remain,23,0.9980400890868598,0.9932729624838291,0.9930882022605034,0.9956178790534619,0.995556536291746,0.9999109131403119,0.006727037516170787,unlearning,remain,23,0.9907349665924275,0.9925830099180681,0.9922895568750272,0.9916739702015775,0.9914646683531745,0.9995980142734897,0.00741699008193184
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
