 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,1,0.9858733693923004,0.9811049362536777,0.982448384474355,0.9835214446952596,0.9838707765643744,0.9988505494393484,0.018895063746322327,unlearning,forget,1,0.0016544702513522113,0.9690094802222949,0.03163434247871334,0.47878103837471775,0.0031128694843581975,0.7337114840941804,0.03099051977770511
 
original,remain,3,0.8648909476934955,0.9406565656565656,0.9376907816701716,0.9019099792715428,0.8934080845536957,0.9701217297468022,0.059343434343434344,unlearning,remain,3,0.8712121212121212,0.9352020202020203,0.9330266808380728,0.9024775441713553,0.8948806676972724,0.9721009530744621,0.0647979797979798
original,remain,5,0.8590967741935485,0.8584126984126984,0.8518587679117002,0.8587409700722393,0.8505932170848537,0.9462485407066052,0.14158730158730157,unlearning,remain,5,0.8463655913978494,0.8729365079365079,0.8634342958533401,0.8601857585139319,0.8494848136158462,0.9467030209933437,0.12706349206349205
original,remain,6,0.7186065197428833,0.710978835978836,0.7117211251111641,0.7145631067961165,0.7012609790337478,0.799209011211852,0.289021164021164,unlearning,remain,6,0.7084481175390267,0.7006512006512007,0.7080569839473433,0.7043149946062567,0.6859794986897788,0.7878860407269498,0.2993487993487993
original,remain,8,0.8516703786191536,0.7839112343966714,0.8468153489576482,0.8214947498455837,0.8437704917376049,0.9005001096596226,0.2160887656033287,unlearning,remain,8,0.9002227171492205,0.8097087378640777,0.8729479843225093,0.8599135268684373,0.8813229584257606,0.9186702457920051,0.19029126213592232
original,remain,9,0.9456450403150197,0.907855565158936,0.9156558813457277,0.9269770861995351,0.9295289186037166,0.9814058778954583,0.09214443484106405,unlearning,remain,9,0.946277892368273,0.9107125708249304,0.9181826842561477,0.9287086673940889,0.9310510699348165,0.982399977677948,0.08928742917506965
original,remain,10,0.8330438139355337,0.8625641025641025,0.8528130094328924,0.8486991206599583,0.8375072498479734,0.9339418499052257,0.13743589743589743,unlearning,remain,10,0.7997490831885736,0.8647863247863249,0.8503901107005918,0.8342398694587979,0.8169755492055258,0.9266335389663415,0.1352136752136752
original,remain,13,0.9245878136200717,0.9056349206349207,0.9218744675060946,0.915593220338983,0.9208379231426753,0.9668772486772488,0.09436507936507937,unlearning,remain,13,0.931326164874552,0.8942063492063492,0.9157425149517678,0.9137099811676084,0.9204064528987344,0.9679399214883087,0.10579365079365077
original,remain,14,0.4097995545657016,0.8242222222222222,0.8168918008209943,0.5580193927833412,0.5301368642933598,0.7120427286975172,0.17577777777777773,unlearning,remain,14,0.4006434050977481,0.8088888888888889,0.7996653481058787,0.5466539500874265,0.5194018361289429,0.6940117132722924,0.1911111111111111
original,remain,16,0.695063103192279,0.5611111111111111,0.6343329368743729,0.6280126065999259,0.6541266946301049,0.6771743792790564,0.43888888888888894,unlearning,remain,16,0.6510764662212324,0.5872222222222222,0.6247244775726362,0.6191138301816833,0.6277002334077907,0.6716064505485441,0.41277777777777774
original,remain,17,0.730883444691908,0.9523333333333334,0.8221718892350117,0.9013169146570892,0.7717326581187399,0.9547048997772828,0.04766666666666667,unlearning,remain,17,0.7097253155159615,0.9515555555555556,0.808846627930731,0.8958440225756799,0.7540600113867515,0.9459628804751299,0.048444444444444436
