 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,1,1.0,0.9986923831317424,0.9987303265377967,0.9993550467591099,0.9993644153465205,0.9999929522654316,0.0013076168682576122,unlearning,forget,1,0.0021635380209990454,0.9997384766263485,0.21428571428571427,0.49419542083198964,0.004266122685648398,0.45220803048582053,0.0002615233736515161
 
original,remain,2,0.9912380952380953,0.9909722222222223,0.9894484977773224,0.9910944340212633,0.9903140560854543,0.9997701814058958,0.009027777777777782,unlearning,remain,2,0.9883537414965987,0.985925925925926,0.9836179062306719,0.9870419011882426,0.9859294707541113,0.9995847505668936,0.014074074074074053
original,remain,3,0.9964292607604709,0.9892929292929292,0.9899126019409762,0.9929424538545059,0.9931332158949068,0.9998354052979125,0.010707070707070701,unlearning,remain,3,0.9987454159428681,0.9767676767676767,0.9788847886363038,0.988007106899615,0.9885587650061258,0.9997463488387056,0.023232323232323254
original,remain,5,0.9946666666666667,0.9706349206349205,0.9692376851652034,0.9821671826625387,0.9817329036029898,0.9991149684246459,0.029365079365079393,unlearning,remain,5,0.9956129032258065,0.9642857142857142,0.9629490891160112,0.9793188854489164,0.9789149254545458,0.9990067929680834,0.03571428571428572
original,remain,6,0.9232093663911846,0.8669617419617421,0.8701004212169114,0.8933926645091693,0.8925572726881099,0.9737659094903413,0.13303825803825803,unlearning,remain,6,0.9066230486685032,0.8542429792429792,0.8589122616472519,0.878856526429342,0.8783162620863385,0.9641388441104348,0.14575702075702074
original,remain,8,0.9870824053452116,0.9966666666666667,0.9966501297543431,0.9918798665183537,0.991819110715783,0.9996802771591191,0.0033333333333333214,unlearning,remain,8,0.9864142538975502,0.9975555555555555,0.99753491459022,0.9919911012235817,0.9919030677958114,0.9998010393466963,0.002444444444444449
original,remain,9,0.9964372773298331,0.9827859406511092,0.9835788507639257,0.9896935338488544,0.9899231050621122,0.9996738071752503,0.01721405934889081,unlearning,remain,9,0.9971638852428277,0.9735907039277826,0.9752240439104245,0.9855187627496561,0.9859615299407238,0.9995359757971765,0.026409296072217453
original,remain,10,0.9900598340088785,0.9863247863247864,0.9846882419789268,0.9880790499501405,0.9873571760904203,0.9989894783206884,0.013675213675213682,unlearning,remain,10,0.98890175641768,0.9794871794871794,0.977255731820962,0.9839089837730034,0.9830258303020721,0.9982651911075479,0.020512820512820513
original,remain,13,0.9927598566308244,0.9887301587301588,0.9900731831279158,0.9908474576271186,0.9913296098863498,0.9997991124765319,0.011269841269841263,unlearning,remain,13,0.9953405017921146,0.973095238095238,0.9774266376587541,0.9847834274952919,0.9859809656261666,0.9995950162143711,0.02690476190476193
