 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,1,0.9996818326439707,0.9986270022883295,0.9986673957662943,0.9991615607868429,0.9991737267362121,0.999978580129029,0.0013729977116704792,unlearning,forget,1,0.0,0.011180124223602483,0.0,0.005514350209609803,0.0,4.8052735693209125e-05,0.9888198757763975
 
original,remain,3,0.9915556842308435,0.9747474747474748,0.976927151927173,0.9833432040272431,0.9839580789662904,0.9992767279044058,0.02525252525252525,unlearning,remain,3,0.9924242424242425,0.953989898989899,0.9591845132819382,0.9736452472608824,0.9750463421870149,0.9986505544735135,0.046010101010101
original,remain,5,0.9912258064516128,0.9341269841269841,0.934527759160094,0.9615273477812177,0.9615327852739007,0.9978899300221883,0.06587301587301583,unlearning,remain,5,0.9869247311827957,0.9354761904761905,0.9357881356020462,0.9601651186790507,0.9601215083677598,0.9966945212493599,0.06452380952380951
original,remain,6,0.8815426997245179,0.8363858363858363,0.8341851588589948,0.8576051779935275,0.8548411273022225,0.9418212784690058,0.1636141636141636,unlearning,remain,6,0.8605371900826447,0.8289072039072038,0.8284876171748206,0.8437702265372168,0.8394783110780972,0.933773547054797,0.1710927960927961
original,remain,8,0.9164810690423163,0.8812760055478502,0.9202233529325051,0.9008029647930822,0.9129254698646563,0.9621248019176534,0.1187239944521498,unlearning,remain,8,0.8861915367483297,0.801386962552011,0.8564577538795062,0.8484249536751081,0.8688061590954709,0.9003268165657079,0.19861303744798892
original,remain,9,0.9934370898181136,0.9674205320272736,0.9695018641343405,0.9805849423596944,0.9811859869602182,0.9987228240136514,0.03257946797272637,unlearning,remain,9,0.9932495780986311,0.9551762220301546,0.9582788704761991,0.9744413871625789,0.9753241852296445,0.9974738263315903,0.04482377796984541
original,remain,10,0.9665605095541402,0.9488888888888889,0.9458068025636522,0.9571888314749342,0.9546399581711981,0.994748068633419,0.05111111111111111,unlearning,remain,10,0.949189345686161,0.9513247863247862,0.9474236699722992,0.9503218203245399,0.9469384255821128,0.9931081825110487,0.04867521367521368
original,remain,13,0.9893906810035841,0.9530158730158731,0.9601135103655135,0.9721280602636536,0.9742617501508216,0.9955942652329751,0.046984126984126996,unlearning,remain,13,0.9891756272401433,0.9417460317460318,0.9506126975782608,0.9666666666666668,0.9692581503394422,0.9942499402628434,0.058253968253968245
original,remain,14,0.945310566691413,0.7651111111111111,0.8910135817467832,0.8808615482435225,0.9134759618870513,0.939195908603481,0.2348888888888889,unlearning,remain,14,0.9667161593664936,0.6711111111111111,0.854092521878489,0.8609918931807344,0.9029274922168121,0.9359149550441309,0.32888888888888884
original,remain,16,0.8825167037861915,0.686111111111111,0.7443495595764383,0.7842046718576196,0.8053465883247034,0.8693897962550524,0.3138888888888889,unlearning,remain,16,0.865441722345954,0.6292592592592592,0.705783528857198,0.7472191323692993,0.7761645810204495,0.8268582446589128,0.37074074074074076
original,remain,17,0.9079435783221975,0.9333333333333332,0.8029873627352583,0.9274841799213273,0.8522104493971502,0.9752985647117051,0.06666666666666665,unlearning,remain,17,0.87268002969562,0.9295555555555556,0.7903571396501968,0.9164528818197365,0.8286485904551769,0.9699485275921802,0.07044444444444442
original,remain,18,0.9918583511184886,0.9953240740740741,0.9960146650660567,0.9934544369110059,0.9939079521826413,0.9998352787219279,0.004675925925925917,unlearning,remain,18,0.9927278476009801,0.9939814814814815,0.9948732221779251,0.9933051895441559,0.993774852519025,0.9998162035939188,0.006018518518518516
original,remain,19,0.9986963362553382,0.9933333333333333,0.9932953869901199,0.9959995530226843,0.9959880853269034,0.9999170869858395,0.006666666666666672,unlearning,remain,19,0.9962688244549337,0.9926666666666667,0.9926120988059601,0.9944574812828249,0.9944368237909612,0.9998030988237057,0.00733333333333334
original,remain,20,0.9994823681656422,0.983416528008874,0.9812291920114283,0.9908317156935942,0.9902169443835499,0.9999413070670347,0.016583471991125885,unlearning,remain,20,0.9926237463604013,0.9839156960621187,0.9816523206886268,0.987934896222189,0.9870244544400716,0.9989090489214837,0.016084303937881295
original,remain,21,0.9897598870056497,0.9261111111111111,0.9311148897835284,0.9579547748839087,0.9593977879659303,0.9936146625659339,0.07388888888888889,unlearning,remain,21,0.9885492332526231,0.8962626262626262,0.9060977261801826,0.9424338784575005,0.9452710438593777,0.9888544647442953,0.10373737373737374
original,remain,23,0.9983964365256124,0.9883570504527814,0.988106504600983,0.9932953549517967,0.9932221420830251,0.9997085949227404,0.011642949547218628,unlearning,remain,23,0.9983073496659243,0.9865459249676585,0.9862824021078034,0.9923312883435582,0.9922550734918676,0.9996968972302976,0.01345407503234155
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,3,0.9915556842308435,0.9747474747474748,0.976927151927173,0.9833432040272431,0.9839580789662904,0.9992767279044058,0.02525252525252525,unlearning,forget,3,0.0009168114263655666,0.15424242424242424,0.0009642179507584878,0.07583160596189913,0.000939576713701191,0.007916403467214112,0.8457575757575757
 
original,remain,1,0.9996818326439707,0.9986270022883295,0.9986673957662943,0.9991615607868429,0.9991737267362121,0.999978580129029,0.0013729977116704792,unlearning,remain,1,0.9993000318167357,0.8851912389669827,0.9113600531756302,0.9430183811673652,0.9503864635074564,0.9925559614151095,0.11480876103301732
original,remain,5,0.9912258064516128,0.9341269841269841,0.934527759160094,0.9615273477812177,0.9615327852739007,0.9978899300221883,0.06587301587301583,unlearning,remain,5,0.9904516129032258,0.912063492063492,0.9140747659865898,0.9496800825593394,0.950160803231979,0.9966011606076123,0.08793650793650794
original,remain,6,0.8815426997245179,0.8363858363858363,0.8341851588589948,0.8576051779935275,0.8548411273022225,0.9418212784690058,0.1636141636141636,unlearning,remain,6,0.8060146923783287,0.8713369963369964,0.8556892551763493,0.8406418554476807,0.8267948459601675,0.9139532999618226,0.12866300366300368
original,remain,8,0.9164810690423163,0.8812760055478502,0.9202233529325051,0.9008029647930822,0.9129254698646563,0.9621248019176534,0.1187239944521498,unlearning,remain,8,0.9026726057906458,0.6718446601941748,0.8042108639213966,0.7998764669549103,0.8443456784256653,0.8207741660462918,0.3281553398058253
original,remain,9,0.9934370898181136,0.9674205320272736,0.9695018641343405,0.9805849423596944,0.9811859869602182,0.9987228240136514,0.03257946797272637,unlearning,remain,9,0.9952418901181324,0.8840631902429655,0.9007395834471974,0.9403197495137341,0.9448555235137117,0.9921402575596727,0.11593680975703449
original,remain,10,0.9665605095541402,0.9488888888888889,0.9458068025636522,0.9571888314749342,0.9546399581711981,0.994748068633419,0.05111111111111111,unlearning,remain,10,0.9519880331982243,0.9485470085470086,0.9443872100883786,0.9501631765025836,0.9468337572485138,0.99287450695094,0.051452991452991446
original,remain,13,0.9893906810035841,0.9530158730158731,0.9601135103655135,0.9721280602636536,0.9742617501508216,0.9955942652329751,0.046984126984126996,unlearning,remain,13,0.9881003584229392,0.9356349206349206,0.9455052616639353,0.9632015065913372,0.9661075054538931,0.9916374125277351,0.06436507936507935
original,remain,14,0.945310566691413,0.7651111111111111,0.8910135817467832,0.8808615482435225,0.9134759618870513,0.939195908603481,0.2348888888888889,unlearning,remain,14,0.9158624102944816,0.7031111111111112,0.8604895602573094,0.8397711015736767,0.8819001909295762,0.9098119277406583,0.29688888888888887
original,remain,16,0.8825167037861915,0.686111111111111,0.7443495595764383,0.7842046718576196,0.8053465883247034,0.8693897962550524,0.3138888888888889,unlearning,remain,16,0.7743132887899035,0.6722222222222222,0.705279544516674,0.7232109751575825,0.7367881630849471,0.7909888228986225,0.3277777777777778
original,remain,17,0.9079435783221975,0.9333333333333332,0.8029873627352583,0.9274841799213273,0.8522104493971502,0.9752985647117051,0.06666666666666665,unlearning,remain,17,0.8396436525612471,0.9385555555555555,0.8002529951016389,0.9157687703095605,0.8185563095954111,0.967470551843603,0.06144444444444445
original,remain,18,0.9918583511184886,0.9953240740740741,0.9960146650660567,0.9934544369110059,0.9939079521826413,0.9998352787219279,0.004675925925925917,unlearning,remain,18,0.9898427001818039,0.9934722222222222,0.9944337192319329,0.9915142211419555,0.9920639743857039,0.9998006415830106,0.006527777777777762
