 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,1,0.9997454661151766,0.9996730957829356,0.9996819174376247,0.9997097710415995,0.9997135855175375,0.9999993301739873,0.00032690421706441493,unlearning,forget,1,0.0021635380209990454,0.9999346191565871,0.14285714285714285,0.4942921638181232,0.004262521155895443,0.8748390051336338,6.538084341288299e-05
 
original,remain,2,0.9982585034013606,0.9930555555555555,0.9918944519217909,0.9954471544715447,0.9950649034014544,0.9999424263038549,0.006944444444444457,unlearning,remain,2,0.956952380952381,0.9941666666666666,0.9929812438381385,0.9770606629143215,0.9738149356925098,0.9983738095238096,0.00583333333333332
original,remain,3,0.998262883613202,0.9911111111111112,0.9917249269972247,0.9947685322278156,0.9949394675840216,0.9999204114099887,0.008888888888888872,unlearning,remain,3,0.9970565527890368,0.9864141414141413,0.9874649791784066,0.9918566775244299,0.9921508507392395,0.9998472419621812,0.01358585858585859
original,remain,5,0.9965591397849461,0.9838095238095239,0.9828049212439935,0.9899277605779154,0.9896043318433335,0.9997247653183138,0.01619047619047618,unlearning,remain,5,0.9883870967741937,0.9843650793650796,0.9832668581394126,0.9862951496388028,0.985761454149112,0.9993860044376174,0.015634920634920602
original,remain,6,0.9286042240587693,0.8979955229955229,0.8957484333781984,0.9123786407766991,0.9095747144314035,0.9796032303134575,0.10200447700447701,unlearning,remain,6,0.8607093663911847,0.9058811558811559,0.8973138649117156,0.8846548004314996,0.8753221474347979,0.9609537269338405,0.09411884411884411
original,remain,8,0.9951002227171493,0.992,0.9920835818473878,0.9935483870967742,0.9935683889048985,0.9993348181143281,0.007999999999999985,unlearning,remain,8,0.9830734966592427,0.9959999999999999,0.9959815916169237,0.9895439377085651,0.9894390737908442,0.9994704281118535,0.003999999999999981
original,remain,9,0.998031126945434,0.9916210506098146,0.9918910901030021,0.9948645571421795,0.994946242516503,0.999865808380526,0.008378949390185353,unlearning,remain,9,0.9978201762610164,0.9801690194948622,0.9811017884127444,0.9891005265904455,0.9893568219354936,0.9996744531930105,0.01983098050513779
original,remain,10,0.9913626712989769,0.9714957264957264,0.9691989042406788,0.9808267609464236,0.9800143953581619,0.9984694074502993,0.02850427350427352,unlearning,remain,10,0.9746670526925304,0.9785042735042735,0.9757719289549383,0.9767020215755599,0.975184070203405,0.996487764712287,0.02149572649572649
original,remain,13,0.9911827956989248,0.9844444444444446,0.9865222271146816,0.987984934086629,0.9886825095180612,0.9998554019457244,0.015555555555555545,unlearning,remain,13,0.981505376344086,0.980952380952381,0.9838219741389725,0.9812429378531075,0.9823089589948042,0.9996784775558969,0.019047619047619074
original,remain,14,0.9876268250433062,0.9104444444444445,0.9540560501989837,0.9600222540136704,0.9701077530135563,0.9885739503423245,0.08955555555555554,unlearning,remain,14,0.9784706755753527,0.8571111111111112,0.9297804445737752,0.9350659672548084,0.9524911236650305,0.97265239627155,0.1428888888888889
original,remain,16,0.9227913882702302,0.8366666666666666,0.8540879000749468,0.8796811271783463,0.8854438447779804,0.9532269240287058,0.16333333333333336,unlearning,remain,16,0.8646993318485524,0.7859259259259259,0.8044721037214505,0.825268817204301,0.8300494212265832,0.9098744122741896,0.21407407407407408
original,remain,17,0.9821826280623608,0.9787777777777777,0.9344654437541382,0.9795621686334872,0.9572675432419456,0.9971743380351398,0.021222222222222215,unlearning,remain,17,0.9498886414253898,0.9775555555555555,0.9304295174217128,0.9711818026338292,0.9384982871517883,0.9957204899777282,0.02244444444444445
original,remain,18,0.9959686981266302,0.9977777777777778,0.9981046559722263,0.996801842138928,0.9970287547712604,0.9999773074592259,0.002222222222222218,unlearning,remain,18,0.9897636550470318,0.9977314814814814,0.9980515094693726,0.9934331158585988,0.9938446142221369,0.9999118756532202,0.002268518518518503
original,remain,19,0.9995055068554731,0.9976888888888888,0.997667181259971,0.9985920214549111,0.9985854487696612,0.9999917045028845,0.0023111111111111158,unlearning,remain,19,0.9934367273544616,0.9980444444444444,0.9980139379969959,0.9957537154989384,0.9957130855181013,0.9999415119502509,0.0019555555555555624
original,remain,20,0.9999352960207052,0.9959511924570161,0.9953145273700491,0.9977900552486189,0.9976155015768878,0.999998672186781,0.004048807542983912,unlearning,remain,20,1.0,0.9961175818080976,0.9955052536870548,0.9979095117216664,0.9977440363232025,0.9999985824696717,0.0038824181919023815
original,remain,21,0.9945520581113801,0.9186868686868688,0.9271632329212331,0.9566424389259034,0.9590278986314813,0.9942550657910827,0.08131313131313131,unlearning,remain,21,0.9924838579499596,0.8953030303030303,0.9082368721259343,0.9439228750252372,0.9476445839006747,0.9899732239668682,0.1046969696969697
original,remain,22,0.9320712694877505,0.8319827473532871,0.42588941090544635,0.8424961983857762,0.5768512083799348,0.9373526874953243,0.16801725264671286,unlearning,remain,22,0.8674832962138084,0.8435498627630376,0.42968478818958467,0.8460638671189613,0.567232730797722,0.9145479767554441,0.1564501372369625
original,remain,23,0.9978619153674833,0.9836136265631736,0.9833857522808351,0.9906222611744084,0.9905554129942551,0.999732931501271,0.01638637343682623,unlearning,remain,23,0.9864587973273942,0.9866321690383787,0.9861954333599858,0.986546888694128,0.9862626564448537,0.9990597667568484,0.013367830961621396
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,2,0.9982585034013606,0.9930555555555555,0.9918944519217909,0.9954471544715447,0.9950649034014544,0.9999424263038549,0.006944444444444457,unlearning,forget,2,0.36348299319727895,0.9955555555555556,0.9303374960503817,0.7050156347717323,0.42456864410334133,0.8482450793650793,0.004444444444444473
 
original,remain,1,0.9997454661151766,0.9996730957829356,0.9996819174376247,0.9997097710415995,0.9997135855175375,0.9999993301739873,0.00032690421706441493,unlearning,remain,1,0.9986636971046771,0.9991500490356325,0.9991726147839607,0.9989035794904869,0.9989168376117175,0.9999952820950411,0.0008499509643674312
original,remain,3,0.998262883613202,0.9911111111111112,0.9917249269972247,0.9947685322278156,0.9949394675840216,0.9999204114099887,0.008888888888888872,unlearning,remain,3,0.9976355915846362,0.9546464646464647,0.9613447307825069,0.9766311321685914,0.9784200901358675,0.9993540427435912,0.04535353535353537
original,remain,5,0.9965591397849461,0.9838095238095239,0.9828049212439935,0.9899277605779154,0.9896043318433335,0.9997247653183138,0.01619047619047618,unlearning,remain,5,0.989505376344086,0.9815079365079367,0.9803530249870848,0.9853457172342621,0.9848397456843576,0.9991271206690563,0.01849206349206347
original,remain,6,0.9286042240587693,0.8979955229955229,0.8957484333781984,0.9123786407766991,0.9095747144314035,0.9796032303134575,0.10200447700447701,unlearning,remain,6,0.880222681359045,0.8306369556369557,0.8366361841343817,0.8539374325782093,0.8532009701114017,0.9408140785981696,0.1693630443630444
original,remain,8,0.9951002227171493,0.992,0.9920835818473878,0.9935483870967742,0.9935683889048985,0.9993348181143281,0.007999999999999985,unlearning,remain,8,0.9897550111358575,0.9908888888888889,0.9910190451210635,0.9903225806451612,0.9903243980168035,0.999506310319228,0.009111111111111115
original,remain,9,0.998031126945434,0.9916210506098146,0.9918910901030021,0.9948645571421795,0.994946242516503,0.999865808380526,0.008378949390185353,unlearning,remain,9,0.9996249765610351,0.9672044559685008,0.9692695781286113,0.9836092793775795,0.984136032011889,0.9997690959203389,0.03279554403149912
original,remain,10,0.9913626712989769,0.9714957264957264,0.9691989042406788,0.9808267609464236,0.9800143953581619,0.9984694074502993,0.02850427350427352,unlearning,remain,10,0.9752943447210963,0.9708974358974359,0.9674029681358661,0.9729625600580182,0.9712878895488061,0.995549047555417,0.029102564102564083
original,remain,13,0.9911827956989248,0.9844444444444446,0.9865222271146816,0.987984934086629,0.9886825095180612,0.9998554019457244,0.015555555555555545,unlearning,remain,13,0.9937634408602151,0.9406349206349206,0.9550194955955688,0.9685499058380413,0.9724772418956157,0.9994330090459123,0.059365079365079364
original,remain,14,0.9876268250433062,0.9104444444444445,0.9540560501989837,0.9600222540136704,0.9701077530135563,0.9885739503423245,0.08955555555555554,unlearning,remain,14,0.9893590695372433,0.7851111111111112,0.9030165708226651,0.9163090128755363,0.9417524494703771,0.9656502515878908,0.2148888888888889
original,remain,16,0.9227913882702302,0.8366666666666666,0.8540879000749468,0.8796811271783463,0.8854438447779804,0.9532269240287058,0.16333333333333336,unlearning,remain,16,0.926874536005939,0.7001851851851852,0.7655334388456625,0.8134037819799776,0.8351078360822392,0.9089447743957767,0.2998148148148148
original,remain,17,0.9821826280623608,0.9787777777777777,0.9344654437541382,0.9795621686334872,0.9572675432419456,0.9971743380351398,0.021222222222222215,unlearning,remain,17,0.953229398663697,0.9557777777777777,0.8790658284627412,0.9551906960834616,0.9104163533899476,0.9898239297203663,0.04422222222222224
original,remain,18,0.9959686981266302,0.9977777777777778,0.9981046559722263,0.996801842138928,0.9970287547712604,0.9999773074592259,0.002222222222222218,unlearning,remain,18,0.991225990040313,0.9959259259259259,0.9965168304361707,0.9933904737537844,0.9938249255501012,0.9998833041305474,0.004074074074074063
original,remain,19,0.9995055068554731,0.9976888888888888,0.997667181259971,0.9985920214549111,0.9985854487696612,0.9999917045028845,0.0023111111111111158,unlearning,remain,19,0.9614744886491348,0.9952888888888888,0.995098330081806,0.9784780422393563,0.9772900297324284,0.9982377343223195,0.004711111111111148
