test_th=-3
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,unlearning,forget,1,0.0,0.029748283752860413,0.0,0.014672686230248307,0.0,2.1609169626885552e-05,0.9702517162471396
 
original,remain,3,0.9452808338158657,0.9806060606060606,0.9807750075097627,0.9625407166123778,0.962700869821613,0.9938617501008931,0.019393939393939408,unlearning,remain,3,0.9594672843080486,0.9375757575757576,0.9414772727272728,0.9487710986082322,0.9503871522798967,0.9804300679054588,0.06242424242424238
original,remain,5,0.9750537634408603,0.9873015873015873,0.9860809047411918,0.9814241486068112,0.9805363321799309,0.9986617170165557,0.012698412698412653,unlearning,remain,5,0.9686021505376344,0.9996031746031746,0.9995561473590768,0.9847265221878225,0.9838357361293142,0.9995939580133129,0.0003968253968253954
original,remain,6,0.48088842975206614,0.8914835164835165,0.7970890410958904,0.6985436893203884,0.5998711340206186,0.817065983259165,0.10851648351648346,unlearning,remain,6,0.5898760330578512,0.7408424908424909,0.6686182669789227,0.6699029126213593,0.6267837541163557,0.7711074436926709,0.2591575091575091
original,remain,8,0.9008908685968819,0.8543689320388349,0.8851203501094091,0.8801729462631254,0.8929359823399557,0.9471147163213675,0.1456310679611651,unlearning,remain,8,0.8363028953229399,0.7364771151178918,0.798087141339001,0.7918468190240889,0.8167482327351822,0.8708286869573006,0.2635228848821082
original,remain,9,0.9491843240202512,0.9880918083165274,0.9879000780640125,0.9684045732719768,0.9681553026680692,0.9974469468156222,0.011908191683472569,unlearning,remain,9,0.9206825426589161,0.9778161912993374,0.9770172122176898,0.9489064946154941,0.9480137085485351,0.9936930929257696,0.02218380870066261
original,remain,10,0.8199189345686161,0.9907692307692307,0.9874476987447699,0.910524884416644,0.895919012970579,0.979681862723264,0.009230769230769265,unlearning,remain,10,0.9119861030689056,0.9520512820512821,0.943961642193587,0.9332336143595322,0.9276984243852157,0.9810012917019286,0.04794871794871791
original,remain,13,0.9961290322580645,0.9966666666666667,0.9969866551872578,0.9963841807909605,0.9965576592082616,0.9998658474142345,0.0033333333333332993,unlearning,remain,13,0.9991397849462366,0.8771428571428571,0.9000387446726075,0.9412429378531073,0.9470036689767632,0.9996389144905273,0.12285714285714289
original,remain,14,0.8544914625092799,1.0,1.0,0.9065331425846447,0.921537229783827,0.9966592427616926,0.0,unlearning,remain,14,0.8463251670378619,1.0,1.0,0.9012875536480687,0.9167671893848008,0.9967809948032664,0.0
original,remain,16,0.6291759465478842,0.6588888888888889,0.6479357798165137,0.6440489432703004,0.6384180790960451,0.6997265528334571,0.34111111111111114,unlearning,remain,16,0.8062360801781737,0.5233333333333333,0.6279271465741544,0.6646273637374861,0.7059970745977572,0.7587564959168522,0.4766666666666667
original,remain,17,0.36971046770601335,0.83,0.39429928741092635,0.72396100564392,0.3816091954022989,0.7466507052709725,0.17000000000000004,unlearning,remain,17,0.5278396436525612,0.475,0.23133235724743778,0.48717290918419703,0.32168306752629794,0.549956570155902,0.525
original,remain,18,0.9990514583827366,0.9602777777777778,0.9671717171717171,0.9811948317768965,0.9828531435903418,0.999205201169868,0.039722222222222214,unlearning,remain,18,0.9997628645956841,0.7333333333333333,0.8145285935085008,0.8770628118203915,0.8976897689768977,0.9962137051089506,0.2666666666666667
original,remain,19,0.44045853000674307,0.9982666666666666,0.9960353766392193,0.7209520616828696,0.6108097998877875,0.9800206158687346,0.0017333333333333645,unlearning,remain,19,0.9399865138233311,0.9781333333333333,0.9770114942528736,0.9591686221924237,0.9581414530208262,0.992991773432232,0.0218666666666667
original,remain,20,0.7017146554513103,0.9708818635607321,0.9538258575197889,0.8466477527251008,0.8085740913327121,0.9705101207179593,0.02911813643926786,unlearning,remain,20,0.8612099644128114,0.721297836938436,0.7259340059994546,0.7858742720621174,0.7878070435039953,0.8923065874069837,0.27870216306156403
original,remain,21,0.9372477804681194,0.9757575757575757,0.974816369359916,0.9564910155461337,0.9556629976339882,0.9942316832571071,0.024242424242424288,unlearning,remain,21,0.887409200968523,0.9674747474747475,0.9646852379907874,0.9274177266303251,0.9244351024697847,0.9871786672210401,0.03252525252525251
original,remain,23,0.9131403118040089,0.9913755929279862,0.9903381642512077,0.9528921998247152,0.9501738122827346,0.9961735676329269,0.00862440707201384,unlearning,remain,23,0.6792873051224945,0.9698145752479517,0.9561128526645768,0.8269062226117441,0.7942708333333334,0.9654353356747927,0.03018542475204833
 
 
 
test_th=-3
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,3,0.9452808338158657,0.9806060606060606,0.9807750075097627,0.9625407166123778,0.962700869821613,0.9938617501008931,0.019393939393939408,unlearning,forget,3,0.03503184713375796,0.18424242424242424,0.043014575186633486,0.10793603790346461,0.03861496728897399,0.045134582653401416,0.8157575757575758
 
original,remain,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,unlearning,remain,1,1.0,0.6617848970251716,0.7523458445040214,0.8331828442437923,0.8586727863836298,0.9999877683945508,0.3382151029748284
original,remain,5,0.9750537634408603,0.9873015873015873,0.9860809047411918,0.9814241486068112,0.9805363321799309,0.9986617170165557,0.012698412698412653,unlearning,remain,5,0.9982795698924731,0.6599206349206349,0.7303335431088736,0.8222910216718267,0.8435398873341813,0.988089435057177,0.3400793650793651
original,remain,6,0.48088842975206614,0.8914835164835165,0.7970890410958904,0.6985436893203884,0.5998711340206186,0.817065983259165,0.10851648351648346,unlearning,remain,6,0.8316115702479339,0.6423992673992674,0.6733584274362192,0.7313106796116505,0.74416454818581,0.8453208723095086,0.35760073260073255
original,remain,8,0.9008908685968819,0.8543689320388349,0.8851203501094091,0.8801729462631254,0.8929359823399557,0.9471147163213675,0.1456310679611651,unlearning,remain,8,0.8195991091314031,0.7059639389736477,0.7763713080168776,0.76899320568252,0.7973997833152763,0.816255262889639,0.29403606102635227
original,remain,9,0.9491843240202512,0.9880918083165274,0.9879000780640125,0.9684045732719768,0.9681553026680692,0.9974469468156222,0.011908191683472569,unlearning,remain,9,0.9983123945246578,0.7604916930759628,0.8102267539187338,0.8808292613501589,0.8944892473118279,0.9945756342197201,0.23950830692403724
original,remain,10,0.8199189345686161,0.9907692307692307,0.9874476987447699,0.910524884416644,0.895919012970579,0.979681862723264,0.009230769230769265,unlearning,remain,10,0.5060799073537927,0.9223076923076923,0.8522671867381765,0.7268153385912428,0.6350590372388738,0.8313015381645954,0.07769230769230773
original,remain,13,0.9961290322580645,0.9966666666666667,0.9969866551872578,0.9963841807909605,0.9965576592082616,0.9998658474142345,0.0033333333333332993,unlearning,remain,13,0.9888172043010752,0.669047619047619,0.7678690714762859,0.8370621468926553,0.8644482045497274,0.9854875576036866,0.330952380952381
original,remain,14,0.8544914625092799,1.0,1.0,0.9065331425846447,0.921537229783827,0.9966592427616926,0.0,unlearning,remain,14,0.8017817371937639,0.952,0.967741935483871,0.8555078683834049,0.876979293544458,0.9632675080425637,0.04800000000000004
original,remain,16,0.6291759465478842,0.6588888888888889,0.6479357798165137,0.6440489432703004,0.6384180790960451,0.6997265528334571,0.34111111111111114,unlearning,remain,16,0.6659242761692651,0.7155555555555555,0.7002341920374707,0.6907675194660734,0.682648401826484,0.7449542192526601,0.2844444444444445
original,remain,17,0.36971046770601335,0.83,0.39429928741092635,0.72396100564392,0.3816091954022989,0.7466507052709725,0.17000000000000004,unlearning,remain,17,0.13919821826280623,0.4,0.06493506493506493,0.33991790661877885,0.08855827134254339,0.38894097995545657,0.6
original,remain,18,0.9990514583827366,0.9602777777777778,0.9671717171717171,0.9811948317768965,0.9828531435903418,0.999205201169868,0.039722222222222214,unlearning,remain,18,1.0,0.11805555555555555,0.5704816017316018,0.5938339516438531,0.7265052976139202,0.9925517745632756,0.8819444444444444
original,remain,19,0.44045853000674307,0.9982666666666666,0.9960353766392193,0.7209520616828696,0.6108097998877875,0.9800206158687346,0.0017333333333333645,unlearning,remain,19,0.8283209710047201,0.8926666666666667,0.8841226428674248,0.8606771706335904,0.8553126305528477,0.9489708518768263,0.10733333333333328
original,remain,20,0.7017146554513103,0.9708818635607321,0.9538258575197889,0.8466477527251008,0.8085740913327121,0.9705101207179593,0.02911813643926786,unlearning,remain,20,0.9608540925266904,0.45396561286744314,0.6013363028953229,0.6879199641630581,0.7397260273972603,0.9277993487614463,0.5460343871325568
original,remain,21,0.9372477804681194,0.9757575757575757,0.974816369359916,0.9564910155461337,0.9556629976339882,0.9942316832571071,0.024242424242424288,unlearning,remain,21,0.6634382566585957,0.9759595959595959,0.9650719107719401,0.8196042802342015,0.7863206983140022,0.9715357774679809,0.024040404040404084
original,remain,23,0.9131403118040089,0.9913755929279862,0.9903381642512077,0.9528921998247152,0.9501738122827346,0.9961735676329269,0.00862440707201384,unlearning,remain,23,0.7906458797327395,0.9909443725743855,0.9883073496659243,0.892418930762489,0.8784954219252661,0.9906199488874226,0.009055627425614499
 
 
 
test_th=-3
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,5,0.9750537634408603,0.9873015873015873,0.9860809047411918,0.9814241486068112,0.9805363321799309,0.9986617170165557,0.012698412698412653,unlearning,forget,5,0.008172043010752689,0.038492063492063494,0.007780507780507781,0.0239422084623323,0.007971470526536607,0.0015405359276327005,0.9615079365079365
 
original,remain,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,unlearning,remain,1,0.1688195991091314,1.0,1.0,0.5787810383747178,0.2888719512195122,0.9970095763277662,0.0
original,remain,3,0.9452808338158657,0.9806060606060606,0.9807750075097627,0.9625407166123778,0.962700869821613,0.9938617501008931,0.019393939393939408,unlearning,remain,3,0.30689056166763173,0.9854545454545455,0.9566787003610109,0.6384364820846905,0.46470846120122755,0.9624293309469916,0.014545454545454528
original,remain,6,0.48088842975206614,0.8914835164835165,0.7970890410958904,0.6985436893203884,0.5998711340206186,0.817065983259165,0.10851648351648346,unlearning,remain,6,0.007231404958677686,0.9793956043956044,0.23728813559322035,0.5225728155339806,0.014035087719298246,0.547565360775588,0.020604395604395642
original,remain,8,0.9008908685968819,0.8543689320388349,0.8851203501094091,0.8801729462631254,0.8929359823399557,0.9471147163213675,0.1456310679611651,unlearning,remain,8,0.07126948775055679,0.9375866851595007,0.5871559633027523,0.4570722668313774,0.12711022840119166,0.7928792292318576,0.06241331484049928
original,remain,9,0.9491843240202512,0.9880918083165274,0.9879000780640125,0.9684045732719768,0.9681553026680692,0.9974469468156222,0.011908191683472569,unlearning,remain,9,0.701293830864429,0.9908767886295976,0.9874587458745875,0.8443474548128469,0.8201304753028891,0.9795261620445919,0.009123211370402395
original,remain,10,0.8199189345686161,0.9907692307692307,0.9874476987447699,0.910524884416644,0.895919012970579,0.979681862723264,0.009230769230769265,unlearning,remain,10,0.4360162130862768,0.7987179487179488,0.6573548668703623,0.6283655153657873,0.5242819843342037,0.7018064896886553,0.20128205128205123
original,remain,13,0.9961290322580645,0.9966666666666667,0.9969866551872578,0.9963841807909605,0.9965576592082616,0.9998658474142345,0.0033333333333332993,unlearning,remain,13,0.9694623655913979,0.9742857142857143,0.9766031195840554,0.9717514124293786,0.9730196417008419,0.9955451100870456,0.02571428571428569
original,remain,14,0.8544914625092799,1.0,1.0,0.9065331425846447,0.921537229783827,0.9966592427616926,0.0,unlearning,remain,14,0.6748329621380846,1.0,1.0,0.7911301859799714,0.8058510638297872,0.9832952239544668,0.0
original,remain,16,0.6291759465478842,0.6588888888888889,0.6479357798165137,0.6440489432703004,0.6384180790960451,0.6997265528334571,0.34111111111111114,unlearning,remain,16,0.4131403118040089,0.8422222222222222,0.723196881091618,0.6279199110122358,0.52586817859674,0.7044630042068795,0.1577777777777778
original,remain,17,0.36971046770601335,0.83,0.39429928741092635,0.72396100564392,0.3816091954022989,0.7466507052709725,0.17000000000000004,unlearning,remain,17,0.3062360801781737,0.9403333333333334,0.6057268722466961,0.7942534633145203,0.4068047337278107,0.7984398663697104,0.059666666666666646
original,remain,18,0.9990514583827366,0.9602777777777778,0.9671717171717171,0.9811948317768965,0.9828531435903418,0.999205201169868,0.039722222222222214,unlearning,remain,18,0.8622243300924828,0.9966666666666667,0.9967105263157895,0.9241396955353717,0.9246026700572154,0.9971876399757594,0.0033333333333332993
