 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,1,0.8934775692013999,0.9860738803530565,0.9851017928542444,0.9391486617220252,0.932020113683708,0.9936183054712407,0.013926119646943458,unlearning,forget,1,0.0010817690104995227,0.9989539065053938,0.20408163265306123,0.4932602386326991,0.0021513090551324825,0.5751483628214528,0.0010460934946060802
 
original,remain,2,0.9076462585034014,0.7667592592592593,0.7700651728200697,0.8315196998123827,0.832002142680369,0.9398241685563113,0.23324074074074075,unlearning,remain,2,0.9020952380952382,0.6126388888888888,0.6649330770002781,0.745691056910569,0.7650696117569069,0.8917720332577476,0.3873611111111111
original,remain,3,0.9668500289519396,0.5966161616161617,0.7234955577167624,0.7859540025663804,0.8247573218883503,0.9557167432869518,0.4033838383838384,unlearning,remain,3,0.9226018143215594,0.5255050505050505,0.6750453765176836,0.7285805942157734,0.7765036536897615,0.89733910471244,0.47449494949494947
original,remain,5,0.9304086021505377,0.5638095238095238,0.6654143531826433,0.739731682146543,0.7745603934894418,0.8835307390339648,0.43619047619047624,unlearning,remain,5,0.8830107526881722,0.6265873015873016,0.6887354965950039,0.7496388028895768,0.7719538896754992,0.8656515787677078,0.3734126984126984
original,remain,6,0.4713039485766759,0.6944953194953194,0.5783139624655299,0.5896170442286947,0.5109577940392623,0.6393332703702023,0.30550468050468055,unlearning,remain,6,0.36885904499540856,0.7305148555148555,0.5521883601502773,0.560571736785329,0.43402812268891716,0.6062010380192198,0.2694851444851445
original,remain,8,0.9142538975501114,0.9957777777777779,0.9951713332025183,0.9550611790878755,0.9522353600748119,0.9955221479831724,0.004222222222222216,unlearning,remain,8,0.6922048997772828,0.9962222222222223,0.9930760307550613,0.8443826473859846,0.7829615865211697,0.9798386537985648,0.003777777777777791
original,remain,9,0.698785861616351,0.9541678670892154,0.9289281058563197,0.8249442573177095,0.7711626521025429,0.9325987926823934,0.045832132910784584,unlearning,remain,9,0.6637446090380649,0.9305915682320177,0.8705095909855476,0.7955666777361355,0.7161017498445665,0.8797162132666423,0.06940843176798231
original,remain,10,0.5464678633468444,0.8172649572649573,0.7132528229495372,0.69007796210679,0.5915936745520968,0.7897790868013798,0.18273504273504274,unlearning,remain,10,0.2606639644856205,0.9275213675213675,0.6989313561741785,0.6143142054210861,0.35314794036012304,0.7567136022151946,0.07247863247863247
original,remain,13,0.9572759856630825,0.8207142857142857,0.8735155718200209,0.8924670433145009,0.9095665084416024,0.9429532172725722,0.17928571428571427,unlearning,remain,13,0.7517562724014337,0.6973809523809523,0.7451331827493792,0.7259510357815442,0.7400518903179895,0.7389840416453319,0.3026190476190477
original,remain,14,0.10579064587973275,0.9764444444444446,0.7551628698661396,0.41718327769829927,0.17761611653230136,0.6476761527674668,0.023555555555555552,unlearning,remain,14,0.030438010393466965,0.9948888888888888,0.6603641456582633,0.37537752344619296,0.056991436014883275,0.6327240781984658,0.005111111111111122
original,remain,16,0.8984780994803266,0.22111111111111112,0.5441618953589995,0.5594178717093067,0.6749984773525015,0.5386694712529901,0.778888888888889,unlearning,remain,16,0.5968819599109131,0.4683333333333333,0.5423229300187232,0.5325361512791992,0.5631101032416034,0.5170566278973852,0.5316666666666667
original,remain,17,0.6815144766146993,0.9554444444444444,0.8186987921694451,0.8923379510860269,0.7432706237455454,0.9442637960900767,0.044555555555555536,unlearning,remain,17,0.6239792130660727,0.9418888888888889,0.7435268485025245,0.8686505900461775,0.6742020918933962,0.9175601336302895,0.05811111111111111
original,remain,18,0.9373962532606118,0.7094444444444444,0.7925451921879548,0.8324165280798259,0.8582942649058194,0.9216867737728243,0.2905555555555555,unlearning,remain,18,0.9064896055647774,0.43953703703703706,0.6545950241307609,0.6914417295637713,0.7596944207011113,0.7939479367024126,0.5604629629629629
original,remain,19,0.8861766689143629,0.8656,0.8720929420014141,0.8758297016426416,0.871288108371651,0.9738508428860418,0.13439999999999996,unlearning,remain,19,0.8336704877500561,0.8412888888888889,0.8440482777322562,0.8375013968041122,0.8247291658790473,0.9341011043680227,0.15871111111111114
original,remain,20,0.9455192494338401,0.8157515252357183,0.8206267662550226,0.8756458115574137,0.8744663149002087,0.966728463811617,0.18424847476428177,unlearning,remain,20,0.924943384018117,0.5234054353854687,0.6294805895174396,0.7087352545916081,0.7460961704782382,0.8893695991421608,0.47659456461453137
original,remain,21,0.6981436642453592,0.7592424242424243,0.7479840248827903,0.7286745406824147,0.7162154416105948,0.8178862321764865,0.24075757575757575,unlearning,remain,21,0.5773305084745762,0.8206060606060606,0.7647104282420457,0.6988946093276802,0.6476758128228647,0.8078762809695013,0.1793939393939394
original,remain,22,0.715478841870824,0.7378120507123251,0.2687759412530393,0.7354661363902211,0.38850866067657774,0.7675010239283393,0.2621879492876748,unlearning,remain,22,0.623608017817372,0.6067180760684878,0.18626484339749136,0.6084922213124342,0.2844996128330159,0.6414024659862213,0.39328192393151223
original,remain,23,0.9143875278396436,0.8596808969383355,0.8651868745613391,0.8865907099035933,0.8869439137343894,0.9609156469601846,0.1403191030616645,unlearning,remain,23,0.8017817371937639,0.8219922380336353,0.8064528025358072,0.8120508326029798,0.7968807230592541,0.8984545792432227,0.17800776196636478
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,2,0.9076462585034014,0.7667592592592593,0.7700651728200697,0.8315196998123827,0.832002142680369,0.9398241685563113,0.23324074074074075,unlearning,forget,2,0.038693877551020404,0.9918518518518519,0.7935891336601729,0.5537210756722952,0.07371050110126874,0.5935535147392291,0.008148148148148127
 
original,remain,1,0.8934775692013999,0.9860738803530565,0.9851017928542444,0.9391486617220252,0.932020113683708,0.9936183054712407,0.013926119646943458,unlearning,remain,1,0.7155583837098314,0.9686171951618175,0.9501782350831476,0.8403740728797162,0.7980571274897991,0.9549738731451463,0.03138280483818242
original,remain,3,0.9668500289519396,0.5966161616161617,0.7234955577167624,0.7859540025663804,0.8247573218883503,0.9557167432869518,0.4033838383838384,unlearning,remain,3,0.8522968538892105,0.7431818181818183,0.775151436887163,0.7989833185272924,0.8056550340303815,0.8877556324682846,0.25681818181818183
original,remain,5,0.9304086021505377,0.5638095238095238,0.6654143531826433,0.739731682146543,0.7745603934894418,0.8835307390339648,0.43619047619047624,unlearning,remain,5,0.7769462365591397,0.7791269841269841,0.7674424366546813,0.7780804953560371,0.7706141200413563,0.8627271548045741,0.2208730158730159
original,remain,6,0.4713039485766759,0.6944953194953194,0.5783139624655299,0.5896170442286947,0.5109577940392623,0.6393332703702023,0.30550468050468055,unlearning,remain,6,0.2064967860422406,0.851190476190476,0.5569588786008042,0.5482470334412082,0.29562511406125336,0.6138089735390871,0.14880952380952384
original,remain,8,0.9142538975501114,0.9957777777777779,0.9951713332025183,0.9550611790878755,0.9522353600748119,0.9955221479831724,0.004222222222222216,unlearning,remain,8,0.7788418708240534,0.998,0.9966726659167605,0.8885428253615129,0.8688784700678159,0.9921816382083642,0.0020000000000000018
