 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,1,0.9894368437798281,0.9936580581889506,0.9938057635805618,0.991518864882296,0.9914652712468995,0.9997068491894013,0.00634194181104938,unlearning,forget,1,0.0,0.06603465184700882,0.0,0.03257013866494679,0.0,0.0019394957811882333,0.9339653481529911
 
original,remain,3,0.9872611464968153,0.8780303030303029,0.9104746009420159,0.9338910275392361,0.9432412665694475,0.9959899077632142,0.12196969696969695,unlearning,remain,3,0.9703242617255355,0.8845454545454544,0.914845390139538,0.928412792419307,0.936540854704187,0.9949934858135497,0.11545454545454543
original,remain,5,0.9852903225806452,0.8697619047619047,0.8777565718836312,0.9252012383900929,0.9276166217792327,0.9834710701484897,0.13023809523809524,unlearning,remain,5,0.9678279569892473,0.8805555555555555,0.8845796640041937,0.9224355005159957,0.9237318936665904,0.9683630995050351,0.11944444444444444
original,remain,6,0.8911271808999081,0.2998575498575498,0.5386040616819838,0.5776968716289104,0.6681002926095115,0.6736935597020823,0.7001424501424501,unlearning,remain,6,0.7098829201101928,0.4690679690679691,0.5456218586310558,0.58222761596548,0.6098674610499668,0.6317801253880799,0.5309320309320309
original,remain,8,0.7737193763919822,0.8826629680998612,0.9068803201722154,0.8222359481161211,0.8219657028158853,0.9272125759508725,0.11733703190013871,unlearning,remain,8,0.6291759465478841,0.9317614424410541,0.9249633311804812,0.763928350833848,0.726492248517793,0.9331857819348899,0.0682385575589459
original,remain,9,0.9929683105194074,0.8911216748295401,0.9040741719876759,0.9426561981118649,0.9462035188333687,0.989401778145202,0.10887832517046,unlearning,remain,9,0.9804753422088881,0.8549889561125517,0.8739136286972691,0.9184852222591204,0.9239969135515949,0.9745454821623556,0.14501104388744837
original,remain,10,0.9818567844045551,0.31094017094017096,0.563092538910856,0.6260538482458525,0.7142441687950192,0.792289349892853,0.6890598290598291,unlearning,remain,10,0.9548832271762208,0.3326495726495727,0.5630601782736381,0.6248980146858852,0.7072503298986144,0.762514253262661,0.6673504273504273
original,remain,13,0.9785663082437276,0.9351587301587302,0.9456635758409747,0.9579661016949151,0.9613355012328149,0.9917247994538317,0.06484126984126987,unlearning,remain,13,0.9688172043010752,0.9569841269841269,0.961103341958767,0.9632015065913371,0.9645973934187309,0.9855070148489503,0.04301587301587301
original,remain,14,0.9941846077703539,0.5206666666666666,0.7984324099363017,0.8248291209664599,0.8829963919722018,0.9043603068547389,0.4793333333333334,unlearning,remain,14,0.9798317248205889,0.21555555555555558,0.6994315327004438,0.7064854554124941,0.8137595778363985,0.7576146993318486,0.7844444444444444
original,remain,16,0.9205642167780254,0.18555555555555556,0.5371501889230665,0.5526510938079348,0.6758029396516158,0.612178297451126,0.8144444444444444,unlearning,remain,16,0.7739420935412027,0.2816666666666667,0.529741686305496,0.5275305895439377,0.6226349906294641,0.5526862162830982,0.7183333333333333
original,remain,17,0.8489235337787676,0.7737777777777778,0.5305401646990465,0.7910894475799556,0.6492397384120988,0.9062843355605049,0.22622222222222224,unlearning,remain,17,0.7412769116555308,0.6988888888888889,0.4333775339979145,0.7086540106037283,0.5360132828835105,0.8256954961643158,0.3011111111111111
original,remain,18,0.9796854003636076,0.815925925925926,0.8647254848998349,0.9042684746919107,0.9177325810586953,0.9867052944870411,0.18407407407407406,unlearning,remain,18,0.9677891075804285,0.8337037037037037,0.8794130974680104,0.906038122041704,0.9191302207569448,0.9166633511624026,0.1662962962962963
original,remain,19,0.9892560125870983,0.919911111111111,0.9244336959101652,0.9543859649122807,0.9556996261131813,0.9949701715741366,0.08008888888888892,unlearning,remain,19,0.7046077770285458,0.9265333333333334,0.8287719388018248,0.816202927701419,0.7124763032551592,0.8716890447291527,0.07346666666666668
original,remain,20,0.9998705920414105,0.9582917359955629,0.9551355220564931,0.9774824548305212,0.97660853069127,0.9998333056107466,0.041708264004437036,unlearning,remain,20,0.9996117761242317,0.9720465890183029,0.9691300428104352,0.9847692996864268,0.9839541668667948,0.9978453269856683,0.02795341098169717
original,remain,21,0.9731638418079096,0.38969696969696965,0.6179274415981285,0.6816071068039571,0.754872856188966,0.8532933297869738,0.6103030303030302,unlearning,remain,21,0.938458434221146,0.3396969696969697,0.5879273526721501,0.6392590349283263,0.722481568611666,0.7922535840650247,0.6603030303030303
original,remain,23,0.9726503340757239,0.5638637343682622,0.7011779453852398,0.764943032427695,0.8089715470457515,0.9675446850890917,0.4361362656317378,unlearning,remain,23,0.9319376391982181,0.5805088400172489,0.7078632432935562,0.7533742331288343,0.794691674338082,0.9433577371399814,0.41949115998275116
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,3,0.9872611464968153,0.8780303030303029,0.9104746009420159,0.9338910275392361,0.9432412665694475,0.9959899077632142,0.12196969696969695,unlearning,forget,3,0.001013317892298784,0.10606060606060606,0.0011033819297663946,0.0523393544566183,0.0010554223826528275,0.01726202382832377,0.8939393939393939
 
original,remain,1,0.9894368437798281,0.9936580581889506,0.9938057635805618,0.991518864882296,0.9914652712468995,0.9997068491894013,0.00634194181104938,unlearning,remain,1,0.9861279032771237,0.8022883295194508,0.8517123733048477,0.8954530796517252,0.9103873917660482,0.9658672827124459,0.19771167048054922
original,remain,5,0.9852903225806452,0.8697619047619047,0.8777565718836312,0.9252012383900929,0.9276166217792327,0.9834710701484897,0.13023809523809524,unlearning,remain,5,0.9926021505376343,0.8334920634920635,0.8491698983014956,0.9098452012383902,0.9144694551575855,0.9688137395459977,0.1665079365079365
original,remain,6,0.8911271808999081,0.2998575498575498,0.5386040616819838,0.5776968716289104,0.6681002926095115,0.6736935597020823,0.7001424501424501,unlearning,remain,6,0.9245293847566575,0.060948310948310956,0.462427498807658,0.466747572815534,0.6158123566282421,0.6341494416778508,0.939051689051689
original,remain,8,0.7737193763919822,0.8826629680998612,0.9068803201722154,0.8222359481161211,0.8219657028158853,0.9272125759508725,0.11733703190013871,unlearning,remain,8,0.7848552338530067,0.8493758668515949,0.8810985528878614,0.8135886349598518,0.8178290603304292,0.8892542836755434,0.150624133148405
original,remain,9,0.9929683105194074,0.8911216748295401,0.9040741719876759,0.9426561981118649,0.9462035188333687,0.989401778145202,0.10887832517046,unlearning,remain,9,0.989968123007688,0.7147075770671276,0.7845412635710793,0.8539897528345747,0.8740489674314623,0.9665268699990235,0.2852924229328724
original,remain,10,0.9818567844045551,0.31094017094017096,0.563092538910856,0.6260538482458525,0.7142441687950192,0.792289349892853,0.6890598290598291,unlearning,remain,10,0.9974908318857364,0.15376068376068378,0.5139248328366632,0.5500407941256458,0.6774121704285078,0.7449124451274133,0.8462393162393163
original,remain,13,0.9785663082437276,0.9351587301587302,0.9456635758409747,0.9579661016949151,0.9613355012328149,0.9917247994538317,0.06484126984126987,unlearning,remain,13,0.9924014336917563,0.8887301587301587,0.9171447095629636,0.9432015065913371,0.951078290619125,0.992415190305513,0.11126984126984125
