 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,1,1.0,0.9993464052287582,0.999346832135859,0.9996732026143791,0.999673309376021,0.9999965825110001,0.0006535947712418277,unlearning,forget,1,0.6111111111111112,0.40588235294117647,0.5070498915401301,0.5084967320261438,0.5542382928275045,0.46825750779614683,0.5941176470588235
 
original,remain,2,0.9902014153511159,0.9989112683723462,0.9989017023613399,0.994556341861731,0.9945325314379443,0.9999214714530952,0.0010887316276537717,unlearning,remain,2,0.9869352204681546,0.994556341861731,0.9945145364783324,0.9907457811649428,0.9907103825136612,0.9996429173621876,0.00544365813826897
original,remain,3,0.9984848484848485,0.9949494949494949,0.9949672873678913,0.9967171717171717,0.9967229644567684,0.9999275584124069,0.005050505050505083,unlearning,remain,3,0.9944444444444445,0.9853535353535353,0.9854854854854855,0.98989898989899,0.9899446958270488,0.998920645852464,0.014646464646464685
original,remain,5,0.9948364888123924,0.9982788296041308,0.998272884283247,0.9965576592082617,0.996551724137931,0.9999577854076745,0.0017211703958691649,unlearning,remain,5,0.9931153184165232,0.9913941480206541,0.9914089347079038,0.9922547332185886,0.9922613929492692,0.9998081828173279,0.008605851979345935
original,remain,6,0.9293915040183697,0.9649827784156142,0.9636904761904762,0.947187141216992,0.9462302746931619,0.9821803066272453,0.035017221584385805,unlearning,remain,6,0.8903559127439724,0.928817451205511,0.9259701492537313,0.9095866819747417,0.9078138718173836,0.9662755506227583,0.07118254879448904
original,remain,8,0.9910913140311804,1.0,1.0,0.9955456570155902,0.9955257270693512,1.0,0.0,unlearning,remain,8,0.9977728285077951,1.0,1.0,0.9988864142538976,0.9988851727982163,0.9999950397071443,0.0
original,remain,9,0.9990396158463385,0.9798319327731092,0.9802120141342756,0.9894357743097238,0.9895362663495839,0.9995735917416186,0.020168067226890796,unlearning,remain,9,0.9975990396158463,0.9591836734693877,0.9606936416184971,0.978391356542617,0.9787985865724382,0.9988657551856277,0.04081632653061229
original,remain,10,0.9855212355212355,0.9951737451737451,0.9951267056530214,0.9903474903474904,0.9903006789524732,0.9994866281063193,0.004826254826254872,unlearning,remain,10,0.986969111969112,0.9917953667953668,0.9917555771096024,0.9893822393822393,0.9893565553942913,0.9996529382388456,0.00820463320463316
original,remain,13,0.9976190476190476,0.5841269841269842,0.7057832678270635,0.7908730158730158,0.8267017428477474,0.9916049382716049,0.41587301587301584,unlearning,remain,13,0.9968253968253968,0.5071428571428571,0.6691529035695258,0.751984126984127,0.8007650621613006,0.9811035525321239,0.4928571428571429
original,remain,14,0.8711111111111111,1.0,1.0,0.9355555555555556,0.9311163895486936,1.0,0.0,unlearning,remain,14,0.8555555555555555,1.0,1.0,0.9277777777777778,0.9221556886227544,0.9990074074074075,0.0
original,remain,16,0.7342007434944238,0.9795539033457249,0.9729064039408867,0.8568773234200744,0.836864406779661,0.9723538922900458,0.020446096654275103,unlearning,remain,16,0.7620817843866171,0.9535315985130112,0.9425287356321839,0.8578066914498141,0.842754367934224,0.9558152872403644,0.04646840148698883
original,remain,17,0.9925650557620818,0.9925650557620818,0.9925650557620818,0.9925650557620818,0.9925650557620818,0.998963530078357,0.0074349442379182396,unlearning,remain,17,0.9814126394052045,0.9814126394052045,0.9814126394052045,0.9814126394052045,0.9814126394052045,0.996697115849698,0.018587360594795488
original,remain,18,0.9939814814814815,0.9981481481481481,0.99814039981404,0.9960648148148148,0.9960565993968917,0.9999326989026063,0.0018518518518518823,unlearning,remain,18,0.9939814814814815,0.9953703703703703,0.9953639313861845,0.9946759259259259,0.994672226082928,0.9998536093964334,0.00462962962962965
original,remain,19,1.0,0.9991007194244604,0.9991015274034142,0.9995503597122302,0.9995505617977527,0.9999989891180581,0.0008992805755395628,unlearning,remain,19,1.0,0.9937050359712231,0.9937444146559428,0.9968525179856115,0.9968623935454952,1.0,0.006294964028776939
original,remain,20,1.0,0.997411003236246,0.9974176888315042,0.998705501618123,0.9987071751777633,1.0,0.0025889967637540146,unlearning,remain,20,1.0,0.9889967637540453,0.9891165172855314,0.9944983818770227,0.994528484068233,0.9999836616709084,0.011003236245954673
original,remain,21,0.9949494949494949,0.9525252525252526,0.9544573643410853,0.9737373737373738,0.9742828882294758,0.9981271043771044,0.04747474747474745,unlearning,remain,21,0.9939393939393939,0.9151515151515152,0.9213483146067416,0.9545454545454546,0.956268221574344,0.9950614733190489,0.08484848484848484
original,remain,22,0.9497206703910615,0.9329608938547486,0.9340659340659341,0.9413407821229051,0.9418282548476454,0.9804937423925595,0.06703910614525144,unlearning,remain,22,0.9553072625698324,0.9050279329608939,0.9095744680851063,0.9301675977653632,0.9318801089918256,0.9674791673168752,0.0949720670391061
original,remain,23,1.0,0.9991087344028521,0.9991095280498664,0.999554367201426,0.9995545657015591,1.0,0.0008912655971479166,unlearning,remain,23,1.0,0.9982174688057041,0.998220640569395,0.9991087344028521,0.9991095280498664,0.9999984112912707,0.0017825311942959443
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,2,0.9902014153511159,0.9989112683723462,0.9989017023613399,0.994556341861731,0.9945325314379443,0.9999214714530952,0.0010887316276537717,unlearning,forget,2,0.979858464888405,0.6222101252041372,0.7217321571772254,0.8010342950462711,0.8312168090510275,0.9648593642625176,0.3777898747958628
 
original,remain,1,1.0,0.9993464052287582,0.999346832135859,0.9996732026143791,0.999673309376021,0.9999965825110001,0.0006535947712418277,unlearning,remain,1,0.9986928104575163,0.9993464052287582,0.999345977763244,0.9990196078431373,0.9990192873488067,0.9999965825110001,0.0006535947712418277
original,remain,3,0.9984848484848485,0.9949494949494949,0.9949672873678913,0.9967171717171717,0.9967229644567684,0.9999275584124069,0.005050505050505083,unlearning,remain,3,0.996969696969697,0.9883838383838384,0.9884827240861291,0.9926767676767677,0.992708071410611,0.9991064687276808,0.011616161616161635
