 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,1,0.9999363665287941,0.9999346191565871,0.9999363948607048,0.999935504675911,0.9999363665256379,1.0,6.538084341288299e-05,unlearning,forget,1,0.00019090041361756284,0.0005230467473030402,0.00019641220374492602,0.00035472428248951946,0.00019361708993513826,3.727727374988372e-06,0.9994769532526969
 
original,remain,2,0.9986938775510202,0.9981018518518519,0.997773098569362,0.9983739837398374,0.9982321050026807,0.9999895918367346,0.0018981481481481859,unlearning,remain,2,0.9602721088435374,0.8484259259259259,0.8485385194992786,0.8998373983739837,0.899591504262743,0.9441043008314436,0.15157407407407408
original,remain,3,0.9989384288747347,0.993989898989899,0.9943163332513167,0.9965205803968019,0.9966129491283158,0.999972188591181,0.006010101010101003,unlearning,remain,3,0.9303705848291836,0.6911111111111111,0.7660722006563635,0.8134685618398972,0.8374013619624644,0.9007799330888502,0.3088888888888889
original,remain,5,0.9957849462365591,0.9973015873015874,0.9970776141401277,0.9965737874097007,0.9964146593789389,0.9999667520054617,0.0026984126984126887,unlearning,remain,5,0.8723440860215055,0.9958730158730159,0.9947610073197672,0.936594427244582,0.9179419586121668,0.9969471582181259,0.004126984126984113
original,remain,6,0.9401400367309459,0.954110704110704,0.9486329897174088,0.9475458468176914,0.9427547114805637,0.9909620051665508,0.0458892958892959,unlearning,remain,6,0.47933884297520657,0.8794261294261294,0.6120148706954134,0.6914239482200647,0.5265559035216912,0.6788504398589625,0.12057387057387056
original,remain,8,0.9977728285077951,0.9982222222222223,0.9982182605967488,0.9979977753058955,0.9979950487987883,0.9999406087602078,0.001777777777777745,unlearning,remain,8,0.8712694877505568,0.9133333333333333,0.9211329436392528,0.8923248053392658,0.8923320477787199,0.9623548626577578,0.08666666666666664
original,remain,9,0.9950075004687793,0.99392586190339,0.9940871225295407,0.9944731723516296,0.9945426779781875,0.9998665624430683,0.006074138096610032,unlearning,remain,9,0.6051706356647291,0.9197637568424084,0.8543161891128677,0.7605792494900137,0.697022859631369,0.9158417481310819,0.08023624315759151
original,remain,10,0.9876954255935148,0.9887606837606838,0.9873515591490482,0.9882603571752333,0.9875093937820956,0.9989878884385254,0.011239316239316233,unlearning,remain,10,0.629994209612044,0.9704700854700855,0.9517695824616594,0.8105566131810353,0.7469801896506684,0.9439940438188846,0.02952991452991453
original,remain,13,0.9955555555555554,0.9962698412698412,0.9966622441524539,0.995894538606403,0.9960920826089775,0.9999684246458439,0.00373015873015875,unlearning,remain,13,0.4146953405017921,0.41071428571428575,0.35071415740586115,0.4128060263653484,0.35656312823939484,0.4949289981225465,0.5892857142857143
original,remain,14,0.8126701311556546,1.0,1.0,0.8796693689397551,0.8615183642560992,0.9972633836509114,0.0,unlearning,remain,14,0.6382083642662707,0.9291111111111111,0.9396209804963408,0.7422508345255127,0.7464507672391375,0.9004541780087436,0.0708888888888889
original,remain,16,0.9587973273942095,0.9124074074074074,0.9180072268603835,0.9355765665554318,0.9373564136930063,0.9849350408314773,0.0875925925925926,unlearning,remain,16,0.32312546399406084,0.9796296296296295,0.9336917507411441,0.6517426770485725,0.459152638520033,0.8710490390167451,0.020370370370370372
original,remain,17,0.9814402375649592,0.9925555555555556,0.9753206467776923,0.9899948691636737,0.9783338049627816,0.9992889136352389,0.007444444444444438,unlearning,remain,17,0.7234595397178917,0.9217777777777778,0.7534164163839586,0.8760903027193433,0.7015796627333127,0.8968392724573127,0.07822222222222219
original,remain,18,0.9985376650067188,0.9986574074074074,0.9988542246017036,0.9985928105411284,0.9986948249647023,0.9999934458409085,0.0013425925925925803,unlearning,remain,18,0.8271282902537349,0.8601851851851853,0.8312775759972281,0.8423521385015564,0.819954532622812,0.9165810838405397,0.1398148148148148
original,remain,19,0.9998201843110811,0.9980444444444445,0.998028489244577,0.998927254441837,0.9989229059659243,0.9999973387278039,0.0019555555555555624,unlearning,remain,19,0.9520341649808945,0.9819555555555555,0.9822286399105931,0.9670801206838754,0.9652624532851939,0.9810246856971604,0.018044444444444457
original,remain,20,1.0,0.9997781475318913,0.9997413096132861,0.9998805435269522,0.9998706234324848,1.0,0.0002218524681087075,unlearning,remain,20,0.4242639922355226,0.9985024958402662,0.7921051318529803,0.7334627445124682,0.4906760910014335,0.978648458399881,0.0014975041597337757
original,remain,21,0.9962671509281679,0.9872222222222223,0.9876722023281433,0.9917474258025439,0.9918743544951514,0.9996782494028257,0.012777777777777777,unlearning,remain,21,0.842867231638418,0.9332828282828284,0.9268918072659171,0.8880476478901675,0.880787029521082,0.9626010304823863,0.06671717171717173
original,remain,22,0.9732739420935412,0.9236701084825514,0.6038140023128097,0.9288805708269973,0.7438867601658447,0.9871188068345724,0.07632989151744868,unlearning,remain,22,0.7143652561247216,0.6642268984446478,0.19967910944865752,0.669493508012633,0.312100971090087,0.7547206953455872,0.3357731015553522
original,remain,23,0.9980400890868598,0.9919793014230273,0.9917871518885806,0.9949605609114812,0.9948968244077518,0.9999272015527774,0.008020698576972829,unlearning,remain,23,0.9481514476614699,0.9681759379042691,0.9661444775945902,0.9583260297984223,0.9559023878924793,0.9921480824139888,0.03182406209573092
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,2,0.9986938775510202,0.9981018518518519,0.997773098569362,0.9983739837398374,0.9982321050026807,0.9999895918367346,0.0018981481481481859,unlearning,forget,2,0.004136054421768708,0.000787037037037037,0.003488545540973486,0.002326454033771107,0.0037847977850934433,2.3235071806500572e-05,0.999212962962963
 
original,remain,1,0.9999363665287941,0.9999346191565871,0.9999363948607048,0.999935504675911,0.9999363665256379,1.0,6.538084341288299e-05,unlearning,remain,1,0.9326121539930003,0.9984308597580908,0.9974133311535562,0.9650757820058046,0.955626345019774,0.9967751081004536,0.0015691402419091283
original,remain,3,0.9989384288747347,0.993989898989899,0.9943163332513167,0.9965205803968019,0.9966129491283158,0.999972188591181,0.006010101010101003,unlearning,remain,3,0.4806022003474233,0.6474747474747474,0.3808222559889385,0.5621360181620767,0.4186363765413381,0.604968533043229,0.3525252525252525
original,remain,5,0.9957849462365591,0.9973015873015874,0.9970776141401277,0.9965737874097007,0.9964146593789389,0.9999667520054617,0.0026984126984126887,unlearning,remain,5,0.9945806451612903,0.6649999999999999,0.7346933578256368,0.8231578947368421,0.8445379021019178,0.9795924731182796,0.3350000000000001
